[COT 2021-03-29 22:03:24] 76561198036774377: Set GodMode To false [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-29 22:03:24] 76561198036774377: Set UnlimitedAmmo To false [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-29 22:03:24] 76561198036774377: Set UnlimitedStamina To false [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-29 22:03:27] 76561198036774377: Healed [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-29 22:03:28] 76561198036774377: Healed [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-29 22:03:41] 76561198036774377: Teleported to position <429.244751, 421.685669, 11189.668945>
[COT 2021-03-29 22:04:34] 76561198036774377: Bleeding stopped [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-29 22:04:36] 76561198036774377: Bleeding stopped [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-29 22:04:39] 76561198036774377: Healed [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-29 22:04:39] 76561198036774377: Healed [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-29 22:52:40] 76561198036774377: Spawned Entity BerettaDoubleEdge_mag_15Rnd (Mag_FNX45_15Rnd<ea89fa50>, 1, 200) at <4141.207520, 349.000763, 14607.798828>
[COT 2021-03-29 22:52:40] 76561198036774377: Spawned Entity BerettaDoubleEdge_mag_15Rnd (Mag_FNX45_15Rnd<ed7f71c0>, 1, 200) at <4141.207520, 349.000763, 14607.798828>
[COT 2021-03-29 22:52:40] 76561198036774377: Spawned Entity BerettaDoubleEdge_mag_15Rnd (Mag_FNX45_15Rnd<eebaf570>, 1, 200) at <4141.207520, 349.000763, 14607.798828>
[COT 2021-03-29 22:52:53] 76561198036774377: Spawned Entity 100 Ruble Note (ItemBase<f73fcab0>, 100, 100) at <4141.207520, 349.000763, 14607.798828>
[COT 2021-03-29 23:01:22] 76561198036774377: Spawned Entity Barbed Wire (BarbedWire<d65c6a40>, -1, 300) at <4148.339844, 350.219238, 14620.103516>
[COT 2021-03-29 23:01:22] 76561198036774377: Spawned Entity Barbed Wire (BarbedWire<d65c5ba0>, -1, 300) at <4148.339844, 350.219238, 14620.103516>
[COT 2021-03-29 23:01:22] 76561198036774377: Spawned Entity Barbed Wire (BarbedWire<d658ee20>, -1, 300) at <4148.339844, 350.219238, 14620.103516>
[COT 2021-03-29 23:03:46] 76561198036774377: Spawned Entity Barbed Wire (BarbedWire<f0537820>, -1, 300) at <4145.871582, 349.419556, 14610.994141>
[COT 2021-03-29 23:03:46] 76561198036774377: Spawned Entity Barbed Wire (BarbedWire<f0537f70>, -1, 300) at <4145.871582, 349.419556, 14610.994141>
[COT 2021-03-29 23:03:46] 76561198036774377: Spawned Entity Barbed Wire (BarbedWire<f0532060>, -1, 300) at <4145.871582, 349.419556, 14610.994141>
[COT 2021-03-29 23:03:46] 76561198036774377: Spawned Entity Barbed Wire (BarbedWire<f0542ef0>, -1, 300) at <4145.871582, 349.419556, 14610.994141>
[COT 2021-03-29 23:03:47] 76561198036774377: Spawned Entity Barbed Wire (BarbedWire<f054a3f0>, -1, 300) at <4145.871582, 349.419556, 14610.994141>
[COT 2021-03-29 23:03:47] 76561198036774377: Spawned Entity Barbed Wire (BarbedWire<f05544d0>, -1, 300) at <4145.871582, 349.419556, 14610.994141>
