[COT 2021-01-22 11:24:45] 76561198036774377: Spawned Entity ToxicM18SmokeGrenade_Purple (ToxicM18SmokeGrenade_Purple<427466e0>, -1, 100) at <1219.560303, 149.936737, 6277.826660>
[COT 2021-01-22 11:24:46] 76561198036774377: Spawned Entity ToxicM18SmokeGrenade_Purple (ToxicM18SmokeGrenade_Purple<42748720>, -1, 100) at <1219.560303, 149.936737, 6277.826660>
[COT 2021-01-22 11:24:46] 76561198036774377: Spawned Entity ToxicM18SmokeGrenade_Purple (ToxicM18SmokeGrenade_Purple<42744eb0>, -1, 100) at <1219.560303, 149.936737, 6277.826660>
[COT 2021-01-22 11:24:46] 76561198036774377: Spawned Entity ToxicM18SmokeGrenade_Purple (ToxicM18SmokeGrenade_Purple<42747700>, -1, 100) at <1219.560303, 149.936737, 6277.826660>
[COT 2021-01-22 11:24:46] 76561198036774377: Spawned Entity ToxicM18SmokeGrenade_Purple (ToxicM18SmokeGrenade_Purple<42745ed0>, -1, 100) at <1219.560303, 149.936737, 6277.826660>
[COT 2021-01-22 11:24:47] 76561198036774377: Spawned Entity ToxicM18SmokeGrenade_Purple (ToxicM18SmokeGrenade_Purple<42748f30>, -1, 100) at <1219.560303, 149.936737, 6277.826660>
[COT 2021-01-22 11:24:47] 76561198036774377: Spawned Entity ToxicM18SmokeGrenade_Purple (ToxicM18SmokeGrenade_Purple<42749740>, -1, 100) at <1219.560303, 149.936737, 6277.826660>
[COT 2021-01-22 11:24:47] 76561198036774377: Spawned Entity ToxicM18SmokeGrenade_Purple (ToxicM18SmokeGrenade_Purple<42741e50>, -1, 100) at <1219.560303, 149.936737, 6277.826660>
[COT 2021-01-22 11:24:49] 76561198036774377: Spawned Entity Toxic cure (ToxicCure<bf099780>, 1, 100) at <1219.560303, 149.936737, 6277.826660>
[COT 2021-01-22 11:24:49] 76561198036774377: Spawned Entity Toxic cure (ToxicCure<bf0a5d40>, 1, 100) at <1219.560303, 149.936737, 6277.826660>
[COT 2021-01-22 11:24:56] 76561198036774377: Spawned Entity NBC Black Jacket (NBCJacketBase<bf06aae0>, -1, 100) at <1219.560303, 149.936737, 6277.826660>
[COT 2021-01-22 11:24:58] 76561198036774377: Spawned Entity NBC Black Hood (Clothing<bf06c720>, -1, 100) at <1219.560303, 149.936737, 6277.826660>
[COT 2021-01-22 11:25:03] 76561198036774377: Spawned Entity NBC Black Shoes (NBCBootsBase<ac4c02a0>, -1, 70) at <1219.560303, 149.936737, 6277.826660>
[COT 2021-01-22 11:25:08] 76561198036774377: Spawned Entity NBC Black Shoes (NBCBootsBase<ac4ca510>, -1, 70) at <1219.560303, 149.936737, 6277.826660>
[COT 2021-01-22 11:25:09] 76561198036774377: Spawned Entity NBC Black Pant (NBCPantsBase<c0e12880>, -1, 100) at <1219.560303, 149.936737, 6277.826660>
[COT 2021-01-22 11:26:23] 76561198036774377: Spawned Entity Assault Vest (MassSmershvestcomplete<b2fccf10>, -1, 100) at <1219.560303, 149.936737, 6277.826660>
[COT 2021-01-22 11:27:21] 76561198036774377: Spawned Entity MVS Combat Belt - Black (Modular_Belt_Base<bd3c2390>, -1, 100) at <1219.560303, 149.936737, 6277.826660>
[COT 2021-01-22 11:27:36] 76561198036774377: Spawned Entity MVS Molle Panel - Black (MVS_Pouch_Base<c2c4f790>, -1, 100) at <1219.560303, 149.936737, 6277.826660>
[COT 2021-01-22 11:27:55] 76561198036774377: Spawned Entity MVS Medical Pouch - Black (MVS_Pouch_Base<c2c4fea0>, -1, 100) at <1219.560303, 149.936737, 6277.826660>
[COT 2021-01-22 11:29:46] 76561198036774377: Spawned Entity Tactical Backpack (CoyoteBag_ColorBase<c2a28ed0>, -1, 300) at <1218.878662, 149.936752, 6277.743652>
[COT 2021-01-22 11:30:12] 76561198036774377: Spawned Entity Field Backpack (AliceBag_Black<bf07c560>, -1, 300) at <1218.878662, 149.936752, 6277.743652>
[COT 2021-01-22 11:30:25] 76561198036774377: Spawned Entity black Smersh Bag (SmershBag<c4551e20>, -1, 300) at <1218.878662, 149.936752, 6277.743652>
[COT 2021-01-22 11:30:37] 76561198036774377: Spawned Entity MVS Balaclava - Black (BalaclavaMask_ColorBase<bb825ae0>, -1, 100) at <1218.878662, 149.936752, 6277.743652>
[COT 2021-01-22 11:30:49] 76561198036774377: Spawned Entity Meleesling black (meleesling_colorbase_mung<bb829360>, -1, 100) at <1218.878662, 149.936752, 6277.743652>
[COT 2021-01-22 11:30:56] 76561198036774377: Spawned Entity BlackFrost Joint (CP_JointBlackFrost<b9812c60>, -1, 100) at <1218.878662, 149.936752, 6277.743652>
[COT 2021-01-22 11:30:56] 76561198036774377: Spawned Entity BlackFrost Joint (CP_JointBlackFrost<b9821660>, -1, 100) at <1218.878662, 149.936752, 6277.743652>
[COT 2021-01-22 11:30:56] 76561198036774377: Spawned Entity BlackFrost Joint (CP_JointBlackFrost<b982aff0>, -1, 100) at <1218.878662, 149.936752, 6277.743652>
[COT 2021-01-22 11:32:24] 76561198036774377: Teleported mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY= to (Green Mtn, <3742.302002, 402.145996, 6012.638184>)
