[COT 2021-03-08 02:27:14] 76561198036774377: Spawned Entity SteyrAug_mag_40Rnd (Mag_STANAG_30Rnd<fb21c140>, 1, 100) at <3698.430664, 402.380981, 5993.977051>
[COT 2021-03-08 02:27:15] 76561198036774377: Spawned Entity SteyrAug_mag_40Rnd (Mag_STANAG_30Rnd<deb2db70>, 1, 100) at <3698.430664, 402.380981, 5993.977051>
[COT 2021-03-08 02:27:15] 76561198036774377: Spawned Entity SteyrAug_mag_40Rnd (Mag_STANAG_30Rnd<f3b47000>, 1, 100) at <3698.430664, 402.380981, 5993.977051>
[COT 2021-03-08 02:27:15] 76561198036774377: Spawned Entity SteyrAug_mag_40Rnd (Mag_STANAG_30Rnd<f3b42e30>, 1, 100) at <3698.430664, 402.380981, 5993.977051>
[COT 2021-03-08 02:27:24] 76561198036774377: Spawned Entity SteyrAug a1 Olive (MP5K_Base<6ad95f70>, -1, 200) at <3698.430664, 402.380981, 5993.977051>
[COT 2021-03-08 02:27:24] 76561198036774377: Spawned Entity SteyrAug a1 Olive (MP5K_Base<6ad992d0>, -1, 200) at <3698.430664, 402.380981, 5993.977051>
[COT 2021-03-08 02:27:26] 76561198036774377: Spawned Entity SteyrAug a1 Tan (MP5K_Base<6ad97920>, -1, 200) at <3698.430664, 402.380981, 5993.977051>
[COT 2021-03-08 02:27:26] 76561198036774377: Spawned Entity SteyrAug a1 Tan (MP5K_Base<6ad98a40>, -1, 200) at <3698.430664, 402.380981, 5993.977051>
[COT 2021-03-08 02:27:27] 76561198036774377: Spawned Entity SteyrAug a1 Black (MP5K_Base<6ad99b60>, -1, 200) at <3698.430664, 402.380981, 5993.977051>
[COT 2021-03-08 02:27:27] 76561198036774377: Spawned Entity SteyrAug a1 Black (MP5K_Base<6ad96800>, -1, 200) at <3698.430664, 402.380981, 5993.977051>
[COT 2021-03-08 02:27:31] 76561198036774377: Spawned Entity SteyrAugA1_mag_45Rnd (Mag_STANAG_30Rnd<64bed560>, 1, 100) at <3698.430664, 402.380981, 5993.977051>
[COT 2021-03-08 02:27:31] 76561198036774377: Spawned Entity SteyrAugA1_mag_45Rnd (Mag_STANAG_30Rnd<e7cd7d30>, 1, 100) at <3698.430664, 402.380981, 5993.977051>
[COT 2021-03-08 02:27:31] 76561198036774377: Spawned Entity SteyrAugA1_mag_45Rnd (Mag_STANAG_30Rnd<f04f9660>, 1, 100) at <3698.430664, 402.380981, 5993.977051>
[COT 2021-03-08 02:27:31] 76561198036774377: Spawned Entity SteyrAugA1_mag_45Rnd (Mag_STANAG_30Rnd<f0502ff0>, 1, 100) at <3698.430664, 402.380981, 5993.977051>
[COT 2021-03-08 02:27:31] 76561198036774377: Spawned Entity SteyrAugA1_mag_45Rnd (Mag_STANAG_30Rnd<f0526300>, 1, 100) at <3698.430664, 402.380981, 5993.977051>
[COT 2021-03-08 02:27:32] 76561198036774377: Spawned Entity SteyrAugA1_mag_45Rnd (Mag_STANAG_30Rnd<eeaed740>, 1, 100) at <3698.430664, 402.380981, 5993.977051>
[COT 2021-03-08 02:27:32] 76561198036774377: Spawned Entity SteyrAugA1_mag_45Rnd (Mag_STANAG_30Rnd<eeb044e0>, 1, 100) at <3698.430664, 402.380981, 5993.977051>
[COT 2021-03-08 02:27:32] 76561198036774377: Spawned Entity SteyrAugA1_mag_45Rnd (Mag_STANAG_30Rnd<eeb070c0>, 1, 100) at <3698.430664, 402.380981, 5993.977051>
[COT 2021-03-08 02:27:32] 76561198036774377: Spawned Entity SteyrAugA1_mag_45Rnd (Mag_STANAG_30Rnd<eeb04c30>, 1, 100) at <3698.430664, 402.380981, 5993.977051>
[COT 2021-03-08 02:27:32] 76561198036774377: Spawned Entity SteyrAugA1_mag_45Rnd (Mag_STANAG_30Rnd<f3d31670>, 1, 100) at <3698.430664, 402.380981, 5993.977051>
[COT 2021-03-08 02:27:33] 76561198036774377: Spawned Entity SteyrAugA1_mag_45Rnd (Mag_STANAG_30Rnd<f3d450e0>, 1, 100) at <3698.430664, 402.380981, 5993.977051>
[COT 2021-03-08 02:27:33] 76561198036774377: Spawned Entity SteyrAugA1_mag_45Rnd (Mag_STANAG_30Rnd<f9093790>, 1, 100) at <3698.430664, 402.380981, 5993.977051>
[COT 2021-03-08 02:27:33] 76561198036774377: Spawned Entity SteyrAugA1_mag_45Rnd (Mag_STANAG_30Rnd<f3b41f90>, 1, 100) at <3698.430664, 402.380981, 5993.977051>
[COT 2021-03-08 02:27:55] 76561198036774377: Spawned Entity RPK16Green_mag_100Rnd (Mag_AKM_30Rnd<fc87ee10>, 1, 100) at <3700.521240, 402.381836, 5994.758789>
[COT 2021-03-08 02:27:55] 76561198036774377: Spawned Entity RPK16Green_mag_100Rnd (Mag_AKM_30Rnd<e3450f00>, 1, 100) at <3700.521240, 402.381836, 5994.758789>
[COT 2021-03-08 02:27:55] 76561198036774377: Spawned Entity RPK16Green_mag_100Rnd (Mag_AKM_30Rnd<e34524f0>, 1, 100) at <3700.521240, 402.381836, 5994.758789>
[COT 2021-03-08 02:27:58] 76561198036774377: Spawned Entity RPK16Tan_mag_100Rnd (Mag_AKM_30Rnd<db5a3ca0>, 1, 100) at <3700.521240, 402.381836, 5994.758789>
[COT 2021-03-08 02:27:58] 76561198036774377: Spawned Entity RPK16Tan_mag_100Rnd (Mag_AKM_30Rnd<e80000e0>, 1, 100) at <3700.521240, 402.381836, 5994.758789>
[COT 2021-03-08 02:27:58] 76561198036774377: Spawned Entity RPK16Tan_mag_100Rnd (Mag_AKM_30Rnd<e8008bd0>, 1, 100) at <3700.521240, 402.381836, 5994.758789>
[COT 2021-03-08 02:28:00] 76561198036774377: Spawned Entity RPK16_mag_100Rnd (Mag_AKM_30Rnd<f67042b0>, 1, 100) at <3700.521240, 402.381836, 5994.758789>
[COT 2021-03-08 02:28:00] 76561198036774377: Spawned Entity RPK16_mag_100Rnd (Mag_AKM_30Rnd<f67142a0>, 1, 100) at <3700.521240, 402.381836, 5994.758789>
[COT 2021-03-08 02:28:00] 76561198036774377: Spawned Entity RPK16_mag_100Rnd (Mag_AKM_30Rnd<ec8eaee0>, 1, 100) at <3700.521240, 402.381836, 5994.758789>
[COT 2021-03-08 02:28:07] 76561198036774377: Spawned Entity RPK16Tan (AKM_Base<6ad5d3d0>, -1, 300) at <3700.521240, 402.381836, 5994.758789>
[COT 2021-03-08 02:28:09] 76561198036774377: Spawned Entity RPK16Green (AKM_Base<ec825e20>, -1, 300) at <3700.521240, 402.381836, 5994.758789>
[COT 2021-03-08 02:28:11] 76561198036774377: Spawned Entity RPK16 (AKM_Base<ec832ba0>, -1, 300) at <3700.521240, 402.381836, 5994.758789>
[COT 2021-03-08 02:28:33] 76561198036774377: Spawned Entity TWP_HoneyBadgerBW_mag_40Rnd (Mag_STANAG_30Rnd<d804f0f0>, 1, 100) at <3700.424805, 402.381409, 5992.994629>
[COT 2021-03-08 02:28:34] 76561198036774377: Spawned Entity TWP_HoneyBadgerBW_mag_40Rnd (Mag_STANAG_30Rnd<ef0e0130>, 1, 100) at <3700.424805, 402.381409, 5992.994629>
[COT 2021-03-08 02:28:34] 76561198036774377: Spawned Entity TWP_HoneyBadgerBW_mag_40Rnd (Mag_STANAG_30Rnd<d1b38790>, 1, 100) at <3700.424805, 402.381409, 5992.994629>
[COT 2021-03-08 02:28:34] 76561198036774377: Spawned Entity TWP_HoneyBadgerBW_mag_40Rnd (Mag_STANAG_30Rnd<eeaf3da0>, 1, 100) at <3700.424805, 402.381409, 5992.994629>
[COT 2021-03-08 02:28:35] 76561198036774377: Spawned Entity TWP_HoneyBadgerBW_mag_40Rnd (Mag_STANAG_30Rnd<f2399640>, 1, 100) at <3700.424805, 402.381409, 5992.994629>
[COT 2021-03-08 02:28:35] 76561198036774377: Spawned Entity TWP_HoneyBadgerBW_mag_40Rnd (Mag_STANAG_30Rnd<d509b140>, 1, 100) at <3700.424805, 402.381409, 5992.994629>
[COT 2021-03-08 02:28:36] 76561198036774377: Spawned Entity TWP_HoneyBadgerBW_mag_40Rnd (Mag_STANAG_30Rnd<f3d307d0>, 1, 100) at <3700.424805, 402.381409, 5992.994629>
[COT 2021-03-08 02:28:36] 76561198036774377: Spawned Entity TWP_HoneyBadgerBW_mag_40Rnd (Mag_STANAG_30Rnd<f5753a80>, 1, 100) at <3700.424805, 402.381409, 5992.994629>
[COT 2021-03-08 02:28:36] 76561198036774377: Spawned Entity TWP_HoneyBadgerBW_mag_40Rnd (Mag_STANAG_30Rnd<f0c1b250>, 1, 100) at <3700.424805, 402.381409, 5992.994629>
[COT 2021-03-08 02:28:37] 76561198036774377: Spawned Entity TWP_HoneyBadgerBW_mag_40Rnd (Mag_STANAG_30Rnd<f521c1b0>, 1, 100) at <3700.424805, 402.381409, 5992.994629>
[COT 2021-03-08 02:28:37] 76561198036774377: Spawned Entity TWP_HoneyBadgerBW_mag_40Rnd (Mag_STANAG_30Rnd<deee1650>, 1, 100) at <3700.424805, 402.381409, 5992.994629>
[COT 2021-03-08 02:28:37] 76561198036774377: Spawned Entity TWP_HoneyBadgerBW_mag_40Rnd (Mag_STANAG_30Rnd<deeeea60>, 1, 100) at <3700.424805, 402.381409, 5992.994629>
[COT 2021-03-08 02:28:38] 76561198036774377: Spawned Entity TWP_HoneyBadgerBW_mag_40Rnd (Mag_STANAG_30Rnd<deec4250>, 1, 100) at <3700.424805, 402.381409, 5992.994629>
[COT 2021-03-08 02:28:38] 76561198036774377: Spawned Entity TWP_HoneyBadgerBW_mag_40Rnd (Mag_STANAG_30Rnd<deed0f10>, 1, 100) at <3700.424805, 402.381409, 5992.994629>
[COT 2021-03-08 02:28:38] 76561198036774377: Spawned Entity TWP_HoneyBadgerBW_mag_40Rnd (Mag_STANAG_30Rnd<deedaff0>, 1, 100) at <3700.424805, 402.381409, 5992.994629>
[COT 2021-03-08 02:28:39] 76561198036774377: Spawned Entity TWP_HoneyBadgerBW_mag_40Rnd (Mag_STANAG_30Rnd<f4435af0>, 1, 100) at <3700.424805, 402.381409, 5992.994629>
[COT 2021-03-08 02:28:47] 76561198036774377: Spawned Entity HoneyBadgerBlueWhite (M4A1_Base<ec8154b0>, -1, 200) at <3700.424805, 402.381409, 5992.994629>
[COT 2021-03-08 02:28:47] 76561198036774377: Spawned Entity HoneyBadgerBlueWhite (M4A1_Base<ec81ddb0>, -1, 200) at <3700.424805, 402.381409, 5992.994629>
[COT 2021-03-08 02:28:47] 76561198036774377: Spawned Entity HoneyBadgerBlueWhite (M4A1_Base<d21fed80>, -1, 200) at <3700.424805, 402.381409, 5992.994629>
[COT 2021-03-08 02:28:47] 76561198036774377: Spawned Entity HoneyBadgerBlueWhite (M4A1_Base<d2207f10>, -1, 200) at <3700.424805, 402.381409, 5992.994629>
[COT 2021-03-08 02:28:48] 76561198036774377: Spawned Entity HoneyBadgerBlueWhite (M4A1_Base<d220a9e0>, -1, 200) at <3700.424805, 402.381409, 5992.994629>
[COT 2021-03-08 02:28:48] 76561198036774377: Spawned Entity HoneyBadgerBlueWhite (M4A1_Base<d21dfce0>, -1, 200) at <3700.424805, 402.381409, 5992.994629>
[COT 2021-03-08 02:29:47] 76561198036774377: Spawned Entity Famas_mag_35Rnd (Mag_STANAG_30Rnd<d243c710>, 1, 100) at <3703.277344, 402.382080, 5991.624512>
[COT 2021-03-08 02:29:47] 76561198036774377: Spawned Entity Famas_mag_35Rnd (Mag_STANAG_30Rnd<d2405240>, 1, 100) at <3703.277344, 402.382080, 5991.624512>
[COT 2021-03-08 02:29:47] 76561198036774377: Spawned Entity Famas_mag_35Rnd (Mag_STANAG_30Rnd<d2418560>, 1, 100) at <3703.277344, 402.382080, 5991.624512>
[COT 2021-03-08 02:29:47] 76561198036774377: Spawned Entity Famas_mag_35Rnd (Mag_STANAG_30Rnd<d2423c30>, 1, 100) at <3703.277344, 402.382080, 5991.624512>
[COT 2021-03-08 02:29:48] 76561198036774377: Spawned Entity Famas_mag_35Rnd (Mag_STANAG_30Rnd<d241fa60>, 1, 100) at <3703.277344, 402.382080, 5991.624512>
[COT 2021-03-08 02:29:48] 76561198036774377: Spawned Entity Famas_mag_35Rnd (Mag_STANAG_30Rnd<d2008410>, 1, 100) at <3703.277344, 402.382080, 5991.624512>
[COT 2021-03-08 02:29:48] 76561198036774377: Spawned Entity Famas_mag_35Rnd (Mag_STANAG_30Rnd<d1fff920>, 1, 100) at <3703.277344, 402.382080, 5991.624512>
[COT 2021-03-08 02:29:50] 76561198036774377: Spawned Entity FamasSpecialOps_mag_40Rnd (Mag_STANAG_30Rnd<d1ffbea0>, 1, 100) at <3703.277344, 402.382080, 5991.624512>
[COT 2021-03-08 02:29:50] 76561198036774377: Spawned Entity FamasSpecialOps_mag_40Rnd (Mag_STANAG_30Rnd<e7cff210>, 1, 100) at <3703.277344, 402.382080, 5991.624512>
[COT 2021-03-08 02:29:50] 76561198036774377: Spawned Entity FamasSpecialOps_mag_40Rnd (Mag_STANAG_30Rnd<e7d016a0>, 1, 100) at <3703.277344, 402.382080, 5991.624512>
[COT 2021-03-08 02:29:50] 76561198036774377: Spawned Entity FamasSpecialOps_mag_40Rnd (Mag_STANAG_30Rnd<f3f852c0>, 1, 100) at <3703.277344, 402.382080, 5991.624512>
[COT 2021-03-08 02:29:50] 76561198036774377: Spawned Entity FamasSpecialOps_mag_40Rnd (Mag_STANAG_30Rnd<deefc5c0>, 1, 100) at <3703.277344, 402.382080, 5991.624512>
[COT 2021-03-08 02:29:51] 76561198036774377: Spawned Entity FamasSpecialOps_mag_40Rnd (Mag_STANAG_30Rnd<e7ffbf10>, 1, 100) at <3703.277344, 402.382080, 5991.624512>
[COT 2021-03-08 02:29:51] 76561198036774377: Spawned Entity FamasSpecialOps_mag_40Rnd (Mag_STANAG_30Rnd<e9fe6960>, 1, 100) at <3703.277344, 402.382080, 5991.624512>
[COT 2021-03-08 02:29:51] 76561198036774377: Spawned Entity FamasSpecialOps_mag_40Rnd (Mag_STANAG_30Rnd<ec8cf820>, 1, 100) at <3703.277344, 402.382080, 5991.624512>
[COT 2021-03-08 02:29:53] 76561198036774377: Spawned Entity FamasTan_mag_35Rnd (Mag_STANAG_30Rnd<ef0f6030>, 1, 100) at <3703.277344, 402.382080, 5991.624512>
[COT 2021-03-08 02:29:53] 76561198036774377: Spawned Entity FamasTan_mag_35Rnd (Mag_STANAG_30Rnd<f122e710>, 1, 100) at <3703.277344, 402.382080, 5991.624512>
[COT 2021-03-08 02:29:53] 76561198036774377: Spawned Entity FamasTan_mag_35Rnd (Mag_STANAG_30Rnd<d2429b40>, 1, 100) at <3703.277344, 402.382080, 5991.624512>
[COT 2021-03-08 02:29:53] 76561198036774377: Spawned Entity FamasTan_mag_35Rnd (Mag_STANAG_30Rnd<f504fc50>, 1, 100) at <3703.277344, 402.382080, 5991.624512>
[COT 2021-03-08 02:29:54] 76561198036774377: Spawned Entity FamasTan_mag_35Rnd (Mag_STANAG_30Rnd<f51fdf10>, 1, 100) at <3703.277344, 402.382080, 5991.624512>
[COT 2021-03-08 02:29:54] 76561198036774377: Spawned Entity FamasTan_mag_35Rnd (Mag_STANAG_30Rnd<fcf4fea0>, 1, 100) at <3703.277344, 402.382080, 5991.624512>
[COT 2021-03-08 02:29:54] 76561198036774377: Spawned Entity FamasTan_mag_35Rnd (Mag_STANAG_30Rnd<d7da9bc0>, 1, 100) at <3703.277344, 402.382080, 5991.624512>
[COT 2021-03-08 02:30:02] 76561198036774377: Spawned Entity Famas (UMP45_Base<2780cfa0>, -1, 200) at <3703.277344, 402.382080, 5991.624512>
[COT 2021-03-08 02:30:02] 76561198036774377: Spawned Entity Famas (UMP45_Base<9b992bf0>, -1, 200) at <3703.277344, 402.382080, 5991.624512>
[COT 2021-03-08 02:30:04] 76561198036774377: Spawned Entity FamasTan (UMP45_Base<6ad75db0>, -1, 200) at <3703.277344, 402.382080, 5991.624512>
[COT 2021-03-08 02:30:04] 76561198036774377: Spawned Entity FamasTan (UMP45_Base<f22a6740>, -1, 200) at <3703.277344, 402.382080, 5991.624512>
[COT 2021-03-08 02:30:12] 76561198036774377: Spawned Entity FamasSpecialOps (UMP45_Base<568a3610>, -1, 200) at <3703.277344, 402.382080, 5991.624512>
[COT 2021-03-08 02:30:12] 76561198036774377: Spawned Entity FamasSpecialOps (UMP45_Base<5689f190>, -1, 200) at <3703.277344, 402.382080, 5991.624512>
[COT 2021-03-08 02:30:38] 76561198036774377: Spawned Entity M134_mag_750Rnd (Mag_AKM_Drum75Rnd<fca80070>, 1, 100) at <3701.325439, 402.381134, 5990.238281>
[COT 2021-03-08 02:30:38] 76561198036774377: Spawned Entity M134_mag_750Rnd (Mag_AKM_Drum75Rnd<fcaaf1a0>, 1, 100) at <3701.325439, 402.381134, 5990.238281>
[COT 2021-03-08 02:30:39] 76561198036774377: Spawned Entity M134_mag_750Rnd (Mag_AKM_Drum75Rnd<fcaac5c0>, 1, 100) at <3701.325439, 402.381134, 5990.238281>
[COT 2021-03-08 02:30:39] 76561198036774377: Spawned Entity M134_mag_750Rnd (Mag_AKM_Drum75Rnd<de190400>, 1, 100) at <3701.325439, 402.381134, 5990.238281>
[COT 2021-03-08 02:30:41] 76561198036774377: Spawned Entity M134_mag_500Rnd (Mag_AKM_Drum75Rnd<de199640>, 1, 100) at <3701.325439, 402.381134, 5990.238281>
[COT 2021-03-08 02:30:41] 76561198036774377: Spawned Entity M134_mag_500Rnd (Mag_AKM_Drum75Rnd<cde4d800>, 1, 100) at <3701.325439, 402.381134, 5990.238281>
[COT 2021-03-08 02:30:42] 76561198036774377: Spawned Entity M134_mag_500Rnd (Mag_AKM_Drum75Rnd<f670dc40>, 1, 100) at <3701.325439, 402.381134, 5990.238281>
[COT 2021-03-08 02:30:42] 76561198036774377: Spawned Entity M134_mag_500Rnd (Mag_AKM_Drum75Rnd<e827ea10>, 1, 100) at <3701.325439, 402.381134, 5990.238281>
[COT 2021-03-08 02:30:49] 76561198036774377: Spawned Entity M134 (TWP_M134_Base<568a1c60>, -1, 200) at <3701.325439, 402.381134, 5990.238281>
[COT 2021-03-08 02:30:50] 76561198036774377: Spawned Entity M134 (TWP_M134_Base<568a4730>, -1, 200) at <3701.325439, 402.381134, 5990.238281>
[COT 2021-03-08 02:30:50] 76561198036774377: Spawned Entity M134 (TWP_M134_Base<568a24f0>, -1, 200) at <3701.325439, 402.381134, 5990.238281>
[COT 2021-03-08 02:30:51] 76561198036774377: Spawned Entity M134 (TWP_M134_Base<568a3ea0>, -1, 200) at <3701.325439, 402.381134, 5990.238281>
[COT 2021-03-08 02:30:52] 76561198036774377: Spawned Entity M134 (TWP_M134_Base<568a2d80>, -1, 200) at <3701.325439, 402.381134, 5990.238281>
[COT 2021-03-08 02:30:53] 76561198036774377: Spawned Entity M134 (TWP_M134_Base<568a02b0>, -1, 200) at <3701.325439, 402.381134, 5990.238281>
[COT 2021-03-08 02:31:01] 76561198036774377: Spawned Entity M134_mag_750Rnd (Mag_AKM_Drum75Rnd<fca9c5d0>, 1, 100) at <3701.325439, 402.381134, 5990.238281>
