[COT 2021-03-05 02:23:17] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-05 02:23:17] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-05 02:23:17] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-05 02:23:21] 76561198036774377: Teleported to position <3309.333984, 252.133560, 12114.132813>
[COT 2021-03-05 04:49:32] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<46ff59e0>, -1, 100) at <3024.931152, 366.651581, 6669.990234>
[COT 2021-03-05 04:49:32] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<46ff61f0>, -1, 100) at <3024.931152, 366.651581, 6669.990234>
[COT 2021-03-05 04:49:34] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<46ffaa80>, -1, 100) at <3018.871582, 366.729248, 6671.234375>
[COT 2021-03-05 04:49:34] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<46ff7210>, -1, 100) at <3018.871582, 366.729248, 6671.234375>
[COT 2021-03-05 04:49:35] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<46ff7a20>, -1, 100) at <3018.871582, 366.729248, 6671.234375>
[COT 2021-03-05 04:49:35] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<46ff39a0>, -1, 100) at <3018.871582, 366.729248, 6671.234375>
[COT 2021-03-05 04:49:35] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<46ff8a40>, -1, 100) at <3018.871582, 366.729248, 6671.234375>
[COT 2021-03-05 04:49:35] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<46ff41b0>, -1, 100) at <3018.871582, 366.729248, 6671.234375>
[COT 2021-03-05 04:49:37] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<46ff9250>, -1, 100) at <3033.489014, 367.178101, 6674.448242>
[COT 2021-03-05 04:49:37] 76561198036774377: Spawned Entity Infected (ZmbM_usSoldier_normal_Base<46ff9a60>, -1, 100) at <3033.489014, 367.178101, 6674.448242>
