[COT 2021-02-28 04:08:23] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-28 04:08:23] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-28 04:08:23] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-28 04:08:27] 76561198036774377: Healed [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-28 04:09:50] 76561198036774377: Teleported to position <3700.913818, 399.963501, 6037.182129>
[COT 2021-02-28 04:23:25] 76561198036774377: Spawned Entity SteyrAug_mag_45Rnd (Mag_STANAG_30Rnd<fa4f4140>, 1, 100) at <3698.307373, 402.381195, 5995.186035>
[COT 2021-02-28 04:23:25] 76561198036774377: Spawned Entity SteyrAug_mag_45Rnd (Mag_STANAG_30Rnd<fa51a780>, 1, 100) at <3698.307373, 402.381195, 5995.186035>
[COT 2021-02-28 04:23:26] 76561198036774377: Spawned Entity SteyrAug_mag_45Rnd (Mag_STANAG_30Rnd<e932c9e0>, 1, 100) at <3698.307373, 402.381195, 5995.186035>
[COT 2021-02-28 04:23:26] 76561198036774377: Spawned Entity SteyrAug_mag_45Rnd (Mag_STANAG_30Rnd<eb7a0ef0>, 1, 100) at <3698.307373, 402.381195, 5995.186035>
[COT 2021-02-28 04:24:56] 76561198036774377: Spawned Entity Salmon (zeroy_salmon<eddb6a00>, 1000, 100) at <3698.398926, 402.379486, 5987.297363>
[COT 2021-02-28 04:27:51] 76561198036774377: Spawned Entity Carp (Carp<36654fd0>, 600, 100) at <3700.888428, 402.380981, 5990.202637>
[COT 2021-02-28 04:28:31] 76561198036774377: Set GodMode To false [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-28 04:28:31] 76561198036774377: Set UnlimitedAmmo To false [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-28 04:28:31] 76561198036774377: Set UnlimitedStamina To false [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-28 04:31:21] 76561198036774377: Spawned Entity Defender 110 Wheel (Defender110_koleso<f022c070>, -1, 600) at <3718.613770, 401.804504, 5969.066406>
[COT 2021-02-28 04:31:21] 76561198036774377: Spawned Entity Defender 110 Wheel (Defender110_koleso<f0238630>, -1, 600) at <3718.613770, 401.804504, 5969.066406>
[COT 2021-02-28 04:31:21] 76561198036774377: Spawned Entity Defender 110 Wheel (Defender110_koleso<f0231c40>, -1, 600) at <3718.613770, 401.804504, 5969.066406>
[COT 2021-02-28 04:31:21] 76561198036774377: Spawned Entity Defender 110 Wheel (Defender110_koleso<f0242190>, -1, 600) at <3718.613770, 401.804504, 5969.066406>
[COT 2021-02-28 04:31:22] 76561198036774377: Spawned Entity Defender 110 Wheel (Defender110_koleso<f024e750>, -1, 600) at <3718.613770, 401.804504, 5969.066406>
[COT 2021-02-28 04:31:24] 76561198036774377: Spawned Entity Defender 110 Front left door Red (Defender110_dver_1_1<f0248470>, -1, 500) at <3718.613770, 401.804504, 5969.066406>
[COT 2021-02-28 04:31:25] 76561198036774377: Spawned Entity Defender 110 Front right door Red (Defender110_dver_2_1<f02499a0>, -1, 500) at <3718.613770, 401.804504, 5969.066406>
[COT 2021-02-28 04:31:26] 76561198036774377: Spawned Entity Defender 110 Rear left door Red (Defender110_dver_1_2<f0254a30>, -1, 500) at <3718.613770, 401.804504, 5969.066406>
[COT 2021-02-28 04:31:27] 76561198036774377: Spawned Entity Defender 110 Rear right door Red (Defender110_dver_2_2<f0264160>, -1, 500) at <3718.613770, 401.804504, 5969.066406>
[COT 2021-02-28 04:31:31] 76561198036774377: Spawned Entity Defender 110 Hood Red (Defender110_kapot<e9241870>, -1, 600) at <3718.613770, 401.804504, 5969.066406>
[COT 2021-02-28 04:31:32] 76561198036774377: Spawned Entity Defender 110 Trunk Red (Defender110_bagazhnik<e920a5a0>, -1, 500) at <3718.613770, 401.804504, 5969.066406>
[COT 2021-02-28 04:31:34] 76561198036774377: Spawned Entity Land Rover Defender 110 UN (CrSk_Land_Rover_Defender_110<389a48e0>, -1, 3500) at <3722.757080, 401.810303, 5967.370605>
[COT 2021-02-28 04:31:41] 76561198036774377: Spawned Entity Car Battery (CarBattery<fbeed2d0>, 50, 200) at <3718.613770, 402.110382, 5968.765137>
[COT 2021-02-28 04:31:47] 76561198036774377: Spawned Entity Headlight Bulb (HeadlightH7<fbef0440>, -1, 10) at <3718.613770, 402.110382, 5968.765137>
[COT 2021-02-28 04:31:47] 76561198036774377: Spawned Entity Headlight Bulb (HeadlightH7<fbec25c0>, -1, 10) at <3718.613770, 402.110382, 5968.765137>
[COT 2021-02-28 04:31:52] 76561198036774377: Spawned Entity Car Radiator (CarRadiator<fbed6390>, -1, 250) at <3718.613770, 402.110382, 5968.765137>
[COT 2021-02-28 04:31:59] 76561198036774377: Spawned Entity Barrel (Barrel_Red<fe830d40>, 0, 1300) at <3718.613770, 402.110382, 5968.765137>
[COT 2021-02-28 04:31:59] 76561198036774377: Spawned Entity Barrel (Barrel_Red<e930d8a0>, 0, 1300) at <3718.614502, 402.238098, 5968.765137>
[COT 2021-02-28 04:32:04] 76561198036774377: Spawned Entity Sea Chest (SeaChest<fda3afd0>, -1, 600) at <3719.124268, 401.848206, 5968.414063>
[COT 2021-02-28 04:32:11] 76561198036774377: Spawned Entity Jerrycan (CanisterGasoline<de7596b0>, 20000, 300) at <3719.124268, 401.848206, 5968.414063>
[COT 2021-02-28 04:32:11] 76561198036774377: Spawned Entity Jerrycan (CanisterGasoline<de75a5d0>, 20000, 300) at <3719.124268, 401.848206, 5968.414063>
[COT 2021-02-28 04:32:12] 76561198036774377: Spawned Entity Jerrycan (CanisterGasoline<de752540>, 20000, 300) at <3719.124268, 401.848206, 5968.414063>
[COT 2021-02-28 04:32:12] 76561198036774377: Spawned Entity Jerrycan (CanisterGasoline<de74d9a0>, 20000, 300) at <3719.124268, 401.848206, 5968.414063>
[COT 2021-02-28 04:35:35] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-28 04:35:35] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-28 04:35:36] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-28 04:35:39] 76561198036774377: Healed [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-28 04:35:39] 76561198036774377: Healed [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-28 04:35:39] 76561198036774377: Healed [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-28 04:35:39] 76561198036774377: Healed [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
