[COT 2021-03-20 16:09:26] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-20 16:09:26] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-20 16:09:26] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-20 18:48:05] 76561198036774377: Spawned Entity Brown Bear (Animal_UrsusArctos<1f9f0020>, -1, 800) at <10765.558594, 69.823349, 14533.066406>
[COT 2021-03-20 18:48:07] 76561198036774377: Spawned Entity Brown Bear (Animal_UrsusArctos<1f9f6d80>, -1, 800) at <10767.894531, 70.608055, 14534.469727>
[COT 2021-03-20 18:49:22] 76561198036774377: Spawned Entity Wolf (Animal_CanisLupus<1f9f65b0>, -1, 200) at <10693.647461, 77.578690, 14550.708008>
[COT 2021-03-20 18:49:22] 76561198036774377: Spawned Entity Wolf (Animal_CanisLupus<1f9ef850>, -1, 200) at <10693.790039, 77.639091, 14550.642578>
[COT 2021-03-20 18:49:22] 76561198036774377: Spawned Entity Wolf (Animal_CanisLupus<1f9f7550>, -1, 200) at <10693.932617, 77.699341, 14550.577148>
[COT 2021-03-20 18:49:22] 76561198036774377: Spawned Entity Wolf (Animal_CanisLupus<1f9f7d20>, -1, 200) at <10694.075195, 77.759583, 14550.511719>
[COT 2021-03-20 18:49:24] 76561198036774377: Spawned Entity Wolf (Animal_CanisLupus<1f9f36d0>, -1, 200) at <10697.135742, 77.160538, 14549.701172>
[COT 2021-03-20 18:49:24] 76561198036774377: Spawned Entity Wolf (Animal_CanisLupus<1f9f84f0>, -1, 200) at <10697.278320, 77.251869, 14549.625977>
[COT 2021-03-20 18:49:25] 76561198036774377: Spawned Entity Wolf (Animal_CanisLupus<1f9f8cc0>, -1, 200) at <10697.420898, 77.343269, 14549.550781>
[COT 2021-03-20 18:49:25] 76561198036774377: Spawned Entity Wolf (Animal_CanisLupus<1f9f9490>, -1, 200) at <10697.563477, 77.434662, 14549.475586>
[COT 2021-03-20 18:49:25] 76561198036774377: Spawned Entity Wolf (Animal_CanisLupus<1f9f9c60>, -1, 200) at <10697.706055, 77.526062, 14549.400391>
[COT 2021-03-20 18:49:25] 76561198036774377: Spawned Entity Wolf (Animal_CanisLupus<1f9f2f00>, -1, 200) at <10697.848633, 77.617455, 14549.325195>
[COT 2021-03-20 18:49:25] 76561198036774377: Spawned Entity Wolf (Animal_CanisLupus<1f9f2730>, -1, 200) at <10697.991211, 77.708855, 14549.250000>
[COT 2021-03-20 18:49:25] 76561198036774377: Spawned Entity Wolf (Animal_CanisLupus<1fa009c0>, -1, 200) at <10698.133789, 77.800255, 14549.174805>
[COT 2021-03-20 18:49:26] 76561198036774377: Spawned Entity Wolf (Animal_CanisLupus<1f9ffa20>, -1, 200) at <10698.276367, 77.891647, 14549.099609>
