[COT 2021-03-06 07:01:01] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-06 07:01:01] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-06 07:01:01] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-06 07:01:30] 76561198036774377: Teleported to position <3724.211182, 401.469482, 6011.561523>
[COT 2021-03-06 07:39:41] 76561198036774377: Spawned Entity SCAR-H Magazine (TTC_SCARHMag<f9065660>, 1, 100) at <3701.029297, 402.381226, 5991.268066>
[COT 2021-03-06 07:39:41] 76561198036774377: Spawned Entity SCAR-H Magazine (TTC_SCARHMag<2855810>, 1, 100) at <3701.029297, 402.381226, 5991.268066>
[COT 2021-03-06 07:39:41] 76561198036774377: Spawned Entity SCAR-H Magazine (TTC_SCARHMag<44bba00>, 1, 100) at <3701.029297, 402.381226, 5991.268066>
[COT 2021-03-06 07:39:41] 76561198036774377: Spawned Entity SCAR-H Magazine (TTC_SCARHMag<44bc8a0>, 1, 100) at <3701.029297, 402.381226, 5991.268066>
[COT 2021-03-06 07:40:45] 76561198036774377: Spawned Entity Hunting Knife (HuntingKnife<51966ff0>, -1, 130) at <3696.675781, 402.379486, 5989.906250>
[COT 2021-03-06 07:41:23] 76561198036774377: Spawned Entity Lock Pick (Lockpick<5196cbc0>, -1, 125) at <3696.675781, 402.379486, 5989.906250>
[COT 2021-03-06 07:41:29] 76561198036774377: Spawned Entity Pliers (Pliers<51970440>, -1, 100) at <3696.675781, 402.379486, 5989.906250>
[COT 2021-03-06 07:42:50] 76561198036774377: Spawned Entity Baraka Sights (ReflexOptic<984730>, -1, 30) at <3696.675781, 402.379517, 5989.906250>
[COT 2021-03-06 07:45:15] 76561198036774377: Set GodMode To false [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-06 07:45:15] 76561198036774377: Set UnlimitedAmmo To false [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-06 07:45:15] 76561198036774377: Set UnlimitedStamina To false [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-06 07:45:15] 76561198036774377: Healed [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-06 07:45:15] 76561198036774377: Set GodMode To false [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-06 07:45:15] 76561198036774377: Set UnlimitedAmmo To false [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-06 07:45:15] 76561198036774377: Set UnlimitedStamina To false [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-06 07:45:18] 76561198036774377: Set GodMode To false [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-06 07:45:18] 76561198036774377: Set UnlimitedAmmo To false [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-06 07:45:18] 76561198036774377: Set UnlimitedStamina To false [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-06 07:46:43] 76561198036774377: Entered the Free Camera
