[COT 2021-03-21 19:25:56] 76561198036774377: Spawned Entity AmmoBox_300WinMag_20Rnd (TWP_AmmoBox_300WinMag_20Rnd<f553b9a0>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:25:56] 76561198036774377: Spawned Entity AmmoBox_300WinMag_20Rnd (TWP_AmmoBox_300WinMag_20Rnd<f5543fd0>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:25:56] 76561198036774377: Spawned Entity AmmoBox_300WinMag_20Rnd (TWP_AmmoBox_300WinMag_20Rnd<f5550590>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:25:57] 76561198036774377: Spawned Entity AmmoBox_300WinMag_20Rnd (TWP_AmmoBox_300WinMag_20Rnd<f5537300>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:25:57] 76561198036774377: Spawned Entity AmmoBox_300WinMag_20Rnd (TWP_AmmoBox_300WinMag_20Rnd<f5532550>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:25:57] 76561198036774377: Spawned Entity AmmoBox_300WinMag_20Rnd (TWP_AmmoBox_300WinMag_20Rnd<eb1c3050>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:26:04] 76561198036774377: Spawned Entity Boxed 5.56x45mm Tracer Rounds (AmmoBox_556x45Tracer_20Rnd<eb1b78b0>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:26:04] 76561198036774377: Spawned Entity Boxed 5.56x45mm Tracer Rounds (AmmoBox_556x45Tracer_20Rnd<ddbb2a00>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:26:04] 76561198036774377: Spawned Entity Boxed 5.56x45mm Tracer Rounds (AmmoBox_556x45Tracer_20Rnd<ddbbda90>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
[COT 2021-03-21 19:26:05] 76561198036774377: Spawned Entity Boxed 5.56x45mm Tracer Rounds (AmmoBox_556x45Tracer_20Rnd<ddbbefc0>, -1, 100) at <12400.948242, 49.423466, 5330.826660>
