[COT 2021-04-11 02:53:15] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-11 02:53:15] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-11 02:53:15] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-11 02:53:30] 76561198036774377: Teleported to position <12101.432617, 136.344116, 12370.115234>
[COT 2021-04-11 02:53:34] 76561198036774377: Entered the Free Camera
[COT 2021-04-11 02:55:29] 76561198036774377: Teleported to position <5027.248047, 323.636658, 10578.878906>
[COT 2021-04-11 02:55:33] 76561198036774377: Left the Free Camera
[COT 2021-04-11 02:55:38] 76561198036774377: Entered the Free Camera
[COT 2021-04-11 02:58:17] 76561198036774377: Teleported to position <2729.117920, 209.693573, 5462.570801>
[COT 2021-04-11 02:58:21] 76561198036774377: Left the Free Camera
[COT 2021-04-11 02:58:33] 76561198036774377: Entered the Free Camera
[COT 2021-04-11 02:59:05] 76561198036774377: Teleported to position <3747.796387, 403.124939, 5976.557129>
[COT 2021-04-11 02:59:08] 76561198036774377: Left the Free Camera
[COT 2021-04-11 03:01:45] 76561198036774377: Entered the Free Camera
[COT 2021-04-11 03:01:48] 76561198036774377: Left the Free Camera
[COT 2021-04-11 03:12:08] 76561198036774377: Teleported to position <5388.281738, 309.796509, 5713.710938>
[COT 2021-04-11 03:19:41] 76561198036774377: Spawned Entity Brick of Stardawg Weed (CP_CannabisBrickStardawg<e9c19a50>, -1, 30) at <2029.595337, 257.031860, 7313.215820>
[COT 2021-04-11 03:19:41] 76561198036774377: Spawned Entity Brick of Stardawg Weed (CP_CannabisBrickStardawg<e9c1a160>, -1, 30) at <2029.595337, 257.031860, 7313.215820>
[COT 2021-04-11 03:19:41] 76561198036774377: Spawned Entity Brick of Stardawg Weed (CP_CannabisBrickStardawg<e9c21970>, -1, 30) at <2029.595337, 257.031860, 7313.215820>
[COT 2021-04-11 03:19:42] 76561198036774377: Spawned Entity Brick of Future Weed (CP_CannabisBrickFuture<f246fb30>, -1, 30) at <2029.595337, 257.031860, 7313.215820>
[COT 2021-04-11 03:19:42] 76561198036774377: Spawned Entity Brick of Future Weed (CP_CannabisBrickFuture<f2475700>, -1, 30) at <2029.595337, 257.031860, 7313.215820>
[COT 2021-04-11 03:19:43] 76561198036774377: Spawned Entity Brick of Future Weed (CP_CannabisBrickFuture<ee5595e0>, -1, 30) at <2029.595337, 257.031860, 7313.215820>
[COT 2021-04-11 03:19:44] 76561198036774377: Spawned Entity Brick of S1 Hemp (CP_CannabisBrickS1<ee559cf0>, -1, 30) at <2029.595337, 257.031860, 7313.215820>
[COT 2021-04-11 03:19:44] 76561198036774377: Spawned Entity Brick of S1 Hemp (CP_CannabisBrickS1<ee556b80>, -1, 30) at <2029.595337, 257.031860, 7313.215820>
[COT 2021-04-11 03:19:44] 76561198036774377: Spawned Entity Brick of S1 Hemp (CP_CannabisBrickS1<ee565ba0>, -1, 30) at <2029.595337, 257.031860, 7313.215820>
[COT 2021-04-11 03:19:45] 76561198036774377: Spawned Entity Brick of Nomad Weed (CP_CannabisBrickNomad<ee54c200>, -1, 30) at <2029.595337, 257.031860, 7313.215820>
[COT 2021-04-11 03:19:46] 76561198036774377: Spawned Entity Brick of Nomad Weed (CP_CannabisBrickNomad<ee5516c0>, -1, 30) at <2029.595337, 257.031860, 7313.215820>
[COT 2021-04-11 03:19:46] 76561198036774377: Spawned Entity Brick of Nomad Weed (CP_CannabisBrickNomad<ee54b3e0>, -1, 30) at <2029.595337, 257.031860, 7313.215820>
[COT 2021-04-11 03:19:47] 76561198036774377: Spawned Entity Brick of Nomad Weed (CP_CannabisBrickNomad<ee54c910>, -1, 30) at <2029.595337, 257.031860, 7313.215820>
[COT 2021-04-11 03:19:48] 76561198036774377: Spawned Entity Brick of Black Frost Weed (CP_CannabisBrickBlackFrost<ea1ed2e0>, -1, 30) at <2029.595337, 257.031860, 7313.215820>
[COT 2021-04-11 03:19:48] 76561198036774377: Spawned Entity Brick of Black Frost Weed (CP_CannabisBrickBlackFrost<eb973b90>, -1, 30) at <2029.595337, 257.031860, 7313.215820>
