[COT 2021-04-17 14:08:41] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-17 14:08:41] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-17 14:08:41] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-17 14:08:48] 76561198036774377: Teleported to position <474.881287, 421.872620, 11194.063477>
[COT 2021-04-17 14:08:52] 76561198036774377: Entered the Free Camera
[COT 2021-04-17 14:11:15] 76561198036774377: Spawned Entity Benelli Supernova (Mp133Shotgun_Base<4019b6f0>, -1, 250) at <448.457123, 422.849091, 11171.773438>
[COT 2021-04-17 14:11:15] 76561198036774377: Spawned Entity Benelli Supernova (Mp133Shotgun_Base<40193e00>, -1, 250) at <448.454803, 422.865326, 11171.755859>
[COT 2021-04-17 14:11:15] 76561198036774377: Spawned Entity Benelli Supernova (Mp133Shotgun_Base<40194e20>, -1, 250) at <448.453064, 422.881561, 11171.739258>
[COT 2021-04-17 14:11:16] 76561198036774377: Spawned Entity Benelli Supernova (Mp133Shotgun_Base<40195e40>, -1, 250) at <448.450195, 422.899048, 11171.721680>
[COT 2021-04-17 14:11:16] 76561198036774377: Spawned Entity Benelli Supernova (Mp133Shotgun_Base<40198690>, -1, 250) at <448.449738, 422.904816, 11171.714844>
[COT 2021-04-17 14:11:16] 76561198036774377: Spawned Entity Benelli Supernova (Mp133Shotgun_Base<4016a0d0>, -1, 250) at <448.446808, 422.922302, 11171.696289>
[COT 2021-04-17 14:11:26] 76561198036774377: Spawned Entity Sneakers (Sneakers_Black<7b28b920>, -1, 30) at <449.848999, 422.849091, 11170.846680>
[COT 2021-04-17 14:11:26] 76561198036774377: Spawned Entity Sneakers (Sneakers_Black<7b295a00>, -1, 30) at <449.760803, 422.940369, 11170.786133>
[COT 2021-04-17 14:11:26] 76561198036774377: Spawned Entity Sneakers (Sneakers_Black<7b296150>, -1, 30) at <449.669617, 423.033691, 11170.724609>
[COT 2021-04-17 14:11:26] 76561198036774377: Spawned Entity Sneakers (Sneakers_Black<7b298d30>, -1, 30) at <449.528137, 423.179230, 11170.629883>
[COT 2021-04-17 14:11:26] 76561198036774377: Spawned Entity Sneakers (Sneakers_Black<7b2968a0>, -1, 30) at <449.399475, 423.311554, 11170.541016>
[COT 2021-04-17 14:11:27] 76561198036774377: Spawned Entity Sneakers (Sneakers_Black<7b296ff0>, -1, 30) at <449.304047, 423.409637, 11170.476563>
[COT 2021-04-17 14:11:30] 76561198036774377: Spawned Entity Sneakers (Sneakers_Black<7b297740>, -1, 30) at <447.273712, 422.849091, 11167.426758>
[COT 2021-04-17 14:11:30] 76561198036774377: Spawned Entity Sneakers (Sneakers_Black<7b297e90>, -1, 30) at <447.296722, 422.978729, 11167.605469>
[COT 2021-04-17 14:11:30] 76561198036774377: Spawned Entity Sneakers (Sneakers_Black<7b2985e0>, -1, 30) at <447.319458, 423.103180, 11167.777344>
[COT 2021-04-17 14:11:30] 76561198036774377: Spawned Entity Sneakers (Sneakers_Black<7b29e4f0>, -1, 30) at <447.342010, 423.225311, 11167.946289>
[COT 2021-04-17 14:11:30] 76561198036774377: Spawned Entity Sneakers (Sneakers_Black<7b29ec40>, -1, 30) at <447.355499, 423.306427, 11168.056641>
[COT 2021-04-17 14:11:31] 76561198036774377: Spawned Entity Sneakers (Sneakers_Black<7b29c060>, -1, 30) at <447.375183, 423.415588, 11168.207031>
[COT 2021-04-17 14:11:41] 76561198036774377: Spawned Entity Tactical Gloves (TacticalGloves_Green<7b29cf00>, -1, 100) at <446.629211, 422.849091, 11168.034180>
[COT 2021-04-17 14:11:41] 76561198036774377: Spawned Entity Tactical Gloves (TacticalGloves_Green<7b29dda0>, -1, 100) at <446.675476, 422.933014, 11168.125000>
[COT 2021-04-17 14:11:42] 76561198036774377: Spawned Entity Tactical Gloves (TacticalGloves_Green<7b2a1f70>, -1, 100) at <446.721405, 423.016937, 11168.216797>
[COT 2021-04-17 14:11:42] 76561198036774377: Spawned Entity Tactical Gloves (TacticalGloves_Green<7b29b910>, -1, 100) at <446.760071, 423.087799, 11168.292969>
[COT 2021-04-17 14:11:42] 76561198036774377: Spawned Entity Tactical Gloves (TacticalGloves_Green<7b2a3560>, -1, 100) at <446.806030, 423.171722, 11168.384766>
[COT 2021-04-17 14:11:42] 76561198036774377: Spawned Entity Tactical Gloves (TacticalGloves_Green<7b2a4400>, -1, 100) at <446.844604, 423.242584, 11168.461914>
[COT 2021-04-17 14:11:48] 76561198036774377: Spawned Entity Tactical Gloves (TacticalGloves_Black<7b2a59f0>, -1, 100) at <449.158234, 422.849091, 11171.166992>
[COT 2021-04-17 14:11:48] 76561198036774377: Spawned Entity Tactical Gloves (TacticalGloves_Black<7b2a7730>, -1, 100) at <449.113220, 422.933014, 11171.101563>
[COT 2021-04-17 14:11:48] 76561198036774377: Spawned Entity Tactical Gloves (TacticalGloves_Black<7b2a7e80>, -1, 100) at <449.067444, 423.016937, 11171.037109>
[COT 2021-04-17 14:11:48] 76561198036774377: Spawned Entity Tactical Gloves (TacticalGloves_Black<7b2a26c0>, -1, 100) at <449.029114, 423.087799, 11170.981445>
[COT 2021-04-17 14:11:49] 76561198036774377: Spawned Entity Tactical Gloves (TacticalGloves_Black<7b2a3cb0>, -1, 100) at <448.984222, 423.171722, 11170.916016>
[COT 2021-04-17 14:11:49] 76561198036774377: Spawned Entity Tactical Gloves (TacticalGloves_Black<7b2a85d0>, -1, 100) at <448.945343, 423.242584, 11170.861328>
