[COT 2021-01-20 09:08:24] 76561198036774377: Spawned Entity MVS Facemask - Black (BalaclavaMask_ColorBase<3b2d67c0>, -1, 100) at <6564.064453, 335.644958, 9298.045898>
[COT 2021-01-20 09:09:21] 76561198036774377: Spawned Entity MVS Gorka Top - Multicam Black (GorkaEJacket_Flat<3b497150>, -1, 100) at <6564.064453, 335.644958, 9298.045898>
[COT 2021-01-20 09:10:09] 76561198036774377: Healed [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-01-20 09:14:48] 76561198036774377: Spawned Entity WH Splittertarn Military Tent (WH_LargeTent_Splitter<29c3e790>, -1, 2000) at <6554.942383, 336.173462, 9304.875977>
[COT 2021-01-20 09:15:28] 76561198036774377: Spawned Entity Night Vision Goggles (NVGoggles<350a8050>, -1, 100) at <6552.270996, 336.100281, 9307.433594>
[COT 2021-01-20 09:15:29] 76561198036774377: Spawned Entity Night Vision Goggles (NVGoggles<350a9e90>, -1, 100) at <6552.270996, 336.100281, 9307.433594>
[COT 2021-01-20 09:15:30] 76561198036774377: Spawned Entity Night Vision Goggles (NVGoggles<35082ae0>, -1, 100) at <6552.270996, 336.100281, 9307.433594>
[COT 2021-01-20 09:15:58] 76561198036774377: Spawned Entity MVS Warrior Helmet - Snow (Mich2001Helmet<3257eaa0>, -1, 100) at <6552.270996, 336.100281, 9307.433594>
[COT 2021-01-20 09:16:01] 76561198036774377: Spawned Entity MVS Warrior Helmet - Multicam Black (Mich2001Helmet<2c30fda0>, -1, 100) at <6552.270996, 336.100281, 9307.433594>
[COT 2021-01-20 09:16:17] 76561198036774377: Spawned Entity MVS High Cut Helmet - Black (Mich2001Helmet<365a3f80>, -1, 50) at <6552.270996, 336.100281, 9307.433594>
[COT 2021-01-20 09:16:25] 76561198036774377: Spawned Entity 9V Battery (Battery9V<3656ccb0>, 50, 20) at <6552.270996, 336.100281, 9307.433594>
[COT 2021-01-20 09:16:25] 76561198036774377: Spawned Entity 9V Battery (Battery9V<3656f710>, 50, 20) at <6552.270996, 336.100281, 9307.433594>
[COT 2021-01-20 09:16:25] 76561198036774377: Spawned Entity 9V Battery (Battery9V<36580370>, 50, 20) at <6552.270996, 336.100281, 9307.433594>
[COT 2021-01-20 09:16:25] 76561198036774377: Spawned Entity 9V Battery (Battery9V<36596ba0>, 50, 20) at <6552.270996, 336.100281, 9307.433594>
[COT 2021-01-20 09:16:26] 76561198036774377: Spawned Entity 9V Battery (Battery9V<2d1675a0>, 50, 20) at <6552.270996, 336.100281, 9307.433594>
[COT 2021-01-20 09:16:27] 76561198036774377: Spawned Entity 9V Battery (Battery9V<2d17ba80>, 50, 20) at <6552.270996, 336.100281, 9307.433594>
[COT 2021-01-20 09:17:13] 76561198036774377: Spawned Entity 30rd SG5-K Mag (Mag_MP5_30Rnd<329dc4f0>, 1, 100) at <6552.270996, 336.100281, 9307.433594>
[COT 2021-01-20 09:17:14] 76561198036774377: Spawned Entity 30rd SG5-K Mag (Mag_MP5_30Rnd<329ee970>, 1, 100) at <6552.270996, 336.100281, 9307.433594>
[COT 2021-01-20 09:17:16] 76561198036774377: Spawned Entity SG5-K (MP5K_Base<d0f7e3f0>, -1, 200) at <6552.270996, 336.100281, 9307.433594>
[COT 2021-01-20 09:17:17] 76561198036774377: Spawned Entity SG5-K (MP5K_Base<d0f7c3b0>, -1, 200) at <6552.270996, 336.100281, 9307.433594>
[COT 2021-01-20 09:17:21] 76561198036774377: Spawned Entity  (Building<c6f77890>, -1, 0) at <6552.270996, 336.100281, 9307.433594>
