[COT 2021-02-24 03:41:00] 76561198036774377: Spawned Entity Wooden log (WoodenLog<43961c40>, 1, 500) at <3004.457764, 369.582184, 6731.083496>
[COT 2021-02-24 03:41:01] 76561198036774377: Spawned Entity Wooden log (WoodenLog<43963880>, 1, 500) at <3004.457764, 369.582184, 6731.083496>
[COT 2021-02-24 03:41:01] 76561198036774377: Spawned Entity Wooden log (WoodenLog<4395ce90>, 1, 500) at <3004.457764, 369.582184, 6731.083496>
[COT 2021-02-24 03:41:01] 76561198036774377: Spawned Entity Wooden log (WoodenLog<f8dd6680>, 1, 500) at <3004.457764, 369.582184, 6731.083496>
[COT 2021-02-24 03:41:24] 76561198036774377: Spawned Entity Large Stone (Stone<f7e386a0>, 1, 200) at <3001.854492, 369.563690, 6730.463379>
[COT 2021-02-24 03:41:24] 76561198036774377: Spawned Entity Large Stone (Stone<f7e413e0>, 1, 200) at <3001.854492, 369.563690, 6730.463379>
[COT 2021-02-24 03:41:25] 76561198036774377: Spawned Entity Large Stone (Stone<fff310b0>, 1, 200) at <3001.854492, 369.563690, 6730.463379>
[COT 2021-02-24 03:41:25] 76561198036774377: Spawned Entity Large Stone (Stone<fff51440>, 1, 200) at <3001.854492, 369.563690, 6730.463379>
[COT 2021-02-24 03:41:25] 76561198036774377: Spawned Entity Large Stone (Stone<fe6eef30>, 1, 200) at <3001.854492, 369.563690, 6730.463379>
[COT 2021-02-24 03:41:26] 76561198036774377: Spawned Entity Large Stone (Stone<4395ce90>, 1, 200) at <3001.854492, 369.563690, 6730.463379>
[COT 2021-02-24 03:41:26] 76561198036774377: Spawned Entity Large Stone (Stone<631dea30>, 1, 200) at <3001.854492, 369.563690, 6730.463379>
[COT 2021-02-24 03:41:26] 76561198036774377: Spawned Entity Large Stone (Stone<e070a100>, 1, 200) at <3001.854492, 369.563690, 6730.463379>
[COT 2021-02-24 03:41:27] 76561198036774377: Spawned Entity Large Stone (Stone<e0715190>, 1, 200) at <3001.854492, 369.563690, 6730.463379>
[COT 2021-02-24 03:41:27] 76561198036774377: Spawned Entity Large Stone (Stone<fb42f580>, 1, 200) at <3001.854492, 369.563690, 6730.463379>
[COT 2021-02-24 03:41:27] 76561198036774377: Spawned Entity Large Stone (Stone<fb4311c0>, 1, 200) at <3001.854492, 369.563690, 6730.463379>
[COT 2021-02-24 03:41:28] 76561198036774377: Spawned Entity Large Stone (Stone<fb413180>, 1, 200) at <3001.854492, 369.563690, 6730.463379>
[COT 2021-02-24 03:41:28] 76561198036774377: Spawned Entity Large Stone (Stone<631e0670>, 1, 200) at <3001.854492, 369.563690, 6730.463379>
[COT 2021-02-24 03:41:28] 76561198036774377: Spawned Entity Large Stone (Stone<fc1ae8e0>, 1, 200) at <3001.854492, 369.563690, 6730.463379>
[COT 2021-02-24 03:41:29] 76561198036774377: Spawned Entity Large Stone (Stone<fc18ec60>, 1, 200) at <3001.854492, 369.563690, 6730.463379>
[COT 2021-02-24 03:41:29] 76561198036774377: Spawned Entity Large Stone (Stone<fc188980>, 1, 200) at <3001.854492, 369.563690, 6730.463379>
[COT 2021-02-24 03:41:29] 76561198036774377: Spawned Entity Large Stone (Stone<fcc562f0>, 1, 200) at <3001.854492, 369.563690, 6730.463379>
[COT 2021-02-24 03:41:30] 76561198036774377: Spawned Entity Large Stone (Stone<edbd62a0>, 1, 200) at <3001.854492, 369.563690, 6730.463379>
[COT 2021-02-24 03:41:30] 76561198036774377: Spawned Entity Large Stone (Stone<edbc9ce0>, 1, 200) at <3001.854492, 369.563690, 6730.463379>
[COT 2021-02-24 03:41:30] 76561198036774377: Spawned Entity Large Stone (Stone<edbc32f0>, 1, 200) at <3001.854492, 369.563690, 6730.463379>
[COT 2021-02-24 03:41:31] 76561198036774377: Spawned Entity Large Stone (Stone<edbc5d50>, 1, 200) at <3001.854492, 369.563690, 6730.463379>
[COT 2021-02-24 03:41:31] 76561198036774377: Spawned Entity Large Stone (Stone<f4116280>, 1, 200) at <3001.854492, 369.563690, 6730.463379>
[COT 2021-02-24 03:41:31] 76561198036774377: Spawned Entity Large Stone (Stone<f47b8470>, 1, 200) at <3001.854492, 369.563690, 6730.463379>
[COT 2021-02-24 03:41:32] 76561198036774377: Spawned Entity Large Stone (Stone<f47c5140>, 1, 200) at <3001.854492, 369.563690, 6730.463379>
[COT 2021-02-24 03:41:32] 76561198036774377: Spawned Entity Large Stone (Stone<f76bcce0>, 1, 200) at <3001.854492, 369.563690, 6730.463379>
[COT 2021-02-24 03:41:32] 76561198036774377: Spawned Entity Large Stone (Stone<f76b54d0>, 1, 200) at <3001.854492, 369.563690, 6730.463379>
[COT 2021-02-24 03:41:33] 76561198036774377: Spawned Entity Large Stone (Stone<f76c7660>, 1, 200) at <3001.854492, 369.563690, 6730.463379>
[COT 2021-02-24 03:41:33] 76561198036774377: Spawned Entity Large Stone (Stone<f967a9c0>, 1, 200) at <3001.854492, 369.563690, 6730.463379>
[COT 2021-02-24 03:42:15] 76561198036774377: Spawned Entity Large Stone (Stone<f24ca4b0>, 1, 200) at <3002.755127, 369.598969, 6729.482910>
[COT 2021-02-24 03:42:15] 76561198036774377: Spawned Entity Large Stone (Stone<e0c68a60>, 1, 200) at <3002.755127, 369.598969, 6729.482910>
[COT 2021-02-24 03:42:15] 76561198036774377: Spawned Entity Large Stone (Stone<fc4b8d10>, 1, 200) at <3002.755127, 369.598969, 6729.482910>
[COT 2021-02-24 03:42:16] 76561198036774377: Spawned Entity Large Stone (Stone<fc4b3f60>, 1, 200) at <3002.755127, 369.598969, 6729.482910>
[COT 2021-02-24 03:42:16] 76561198036774377: Spawned Entity Large Stone (Stone<fe352190>, 1, 200) at <3002.755127, 369.598969, 6729.482910>
[COT 2021-02-24 03:42:16] 76561198036774377: Spawned Entity Large Stone (Stone<e3ebb860>, 1, 200) at <3002.755127, 369.598969, 6729.482910>
[COT 2021-02-24 03:42:17] 76561198036774377: Spawned Entity Large Stone (Stone<631e0670>, 1, 200) at <3002.755127, 369.598969, 6729.482910>
[COT 2021-02-24 03:42:17] 76561198036774377: Spawned Entity Large Stone (Stone<631dea30>, 1, 200) at <3002.755127, 369.598969, 6729.482910>
[COT 2021-02-24 03:42:17] 76561198036774377: Spawned Entity Large Stone (Stone<6356f160>, 1, 200) at <3002.755127, 369.598969, 6729.482910>
[COT 2021-02-24 03:42:18] 76561198036774377: Spawned Entity Large Stone (Stone<63538cb0>, 1, 200) at <3002.755127, 369.598969, 6729.482910>
[COT 2021-02-24 03:42:18] 76561198036774377: Spawned Entity Large Stone (Stone<e76b93c0>, 1, 200) at <3002.755127, 369.598969, 6729.482910>
[COT 2021-02-24 03:42:18] 76561198036774377: Spawned Entity Large Stone (Stone<e76bcc40>, 1, 200) at <3002.755127, 369.598969, 6729.482910>
[COT 2021-02-24 03:42:51] 76561198036774377: Spawned Entity Shovel (Shovel<e76bcc40>, -1, 200) at <3002.395508, 369.564148, 6728.884277>
[COT 2021-02-24 03:43:00] 76561198036774377: Spawned Entity Pickaxe (Pickaxe<f9a291f0>, -1, 250) at <3002.395508, 369.564148, 6728.884277>
