[COT 2021-03-06 04:32:53] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-06 04:32:53] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-06 04:32:53] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-06 04:33:59] 76561198036774377: Teleported to position <2547.349121, 191.654495, 5148.984375>
[COT 2021-03-06 04:34:05] 76561198036774377: Entered the Free Camera
[COT 2021-03-06 04:35:05] 76561198036774377: Left the Free Camera
[COT 2021-03-06 04:46:06] 76561198036774377: Healed [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-06 04:46:06] 76561198036774377: Healed [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-06 04:46:22] 76561198036774377: Left the Free Camera
[COT 2021-03-06 04:48:16] 76561198036774377: Teleported to position <3702.489746, 399.655396, 6037.037598>
[COT 2021-03-06 04:48:48] 76561198036774377: Spawned Entity 5.56 DMR 100 round Pmag (TTC_DMR_556Pmag_100rnd<bfc3470>, 1, 100) at <3698.861816, 402.381317, 5994.870117>
[COT 2021-03-06 04:48:48] 76561198036774377: Spawned Entity 5.56 DMR 100 round Pmag (TTC_DMR_556Pmag_100rnd<bfc7d90>, 1, 100) at <3698.861816, 402.381317, 5994.870117>
[COT 2021-03-06 04:48:49] 76561198036774377: Spawned Entity 5.56 DMR 100 round Pmag (TTC_DMR_556Pmag_100rnd<bfcb0c0>, 1, 100) at <3698.861816, 402.381317, 5994.870117>
[COT 2021-03-06 04:48:50] 76561198036774377: Spawned Entity 5.56 DMR 100 round Pmag (TTC_DMR_556Pmag_100rnd<bfc0fe0>, 1, 100) at <3698.861816, 402.381317, 5994.870117>
[COT 2021-03-06 04:48:51] 76561198036774377: Spawned Entity 5.56 DMR 100 round Pmag (TTC_DMR_556Pmag_100rnd<3553f90>, 1, 100) at <3698.861816, 402.381317, 5994.870117>
[COT 2021-03-06 04:48:51] 76561198036774377: Spawned Entity 5.56 DMR 100 round Pmag (TTC_DMR_556Pmag_100rnd<3557a10>, 1, 100) at <3698.861816, 402.381317, 5994.870117>
[COT 2021-03-06 04:48:52] 76561198036774377: Spawned Entity 5.56 DMR 100 round Pmag (TTC_DMR_556Pmag_100rnd<3556420>, 1, 100) at <3698.861816, 402.381317, 5994.870117>
[COT 2021-03-06 04:48:52] 76561198036774377: Spawned Entity 5.56 DMR 100 round Pmag (TTC_DMR_556Pmag_100rnd<35688a0>, 1, 100) at <3698.861816, 402.381317, 5994.870117>
[COT 2021-03-06 04:48:53] 76561198036774377: Spawned Entity 5.56 DMR 100 round Pmag (TTC_DMR_556Pmag_100rnd<ed9cc3f0>, 1, 100) at <3698.861816, 402.381317, 5994.870117>
[COT 2021-03-06 04:48:54] 76561198036774377: Spawned Entity 5.56 DMR 100 round Pmag (TTC_DMR_556Pmag_100rnd<ed9d7ac0>, 1, 100) at <3698.861816, 402.381317, 5994.870117>
[COT 2021-03-06 04:48:55] 76561198036774377: Spawned Entity 5.56 DMR 40 round Pmag (TTC_DMR_556Pmag_40rnd<ed9d8210>, 1, 100) at <3698.861816, 402.381317, 5994.870117>
[COT 2021-03-06 04:48:55] 76561198036774377: Spawned Entity 5.56 DMR 40 round Pmag (TTC_DMR_556Pmag_40rnd<ed9bd2a0>, 1, 100) at <3698.861816, 402.381317, 5994.870117>
