[COT 2021-04-12 22:27:21] 76561198036774377: Teleported to position <9893.317383, 162.119995, 10328.908203>
[COT 2021-04-12 22:32:00] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-12 22:32:00] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-12 22:32:00] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-12 22:32:13] 76561198036774377: Teleported to position <10251.129883, 170.613983, 9539.374023>
[COT 2021-04-12 22:32:42] 76561198036774377: Entered the Free Camera
[COT 2021-04-12 22:33:08] 76561198036774377: Left the Free Camera
[COT 2021-04-12 22:33:25] 76561198036774377: Set rain to 0 0 0
[COT 2021-04-12 22:33:25] 76561198036774377: Set storm to 0 0.8 4000
[COT 2021-04-12 22:33:25] 76561198036774377: Set fog to 0.0397619 0 0
[COT 2021-04-12 22:33:25] 76561198036774377: Set overcast to 0.437773 0 0
[COT 2021-04-12 22:33:25] 76561198036774377: Set the date to 2021/10/1 5:30
[COT 2021-04-12 22:33:25] 76561198036774377: Set wind to 3.0385 3.0385 1
[COT 2021-04-12 22:48:25] 76561198036774377: Spawned Entity Large Stone (Stone<c91dd770>, 1, 200) at <10279.703125, 167.776642, 9573.936523>
[COT 2021-04-12 22:48:25] 76561198036774377: Spawned Entity Large Stone (Stone<518ba5b0>, 1, 200) at <10279.703125, 167.776642, 9573.936523>
[COT 2021-04-12 22:48:26] 76561198036774377: Spawned Entity Large Stone (Stone<cd85ced0>, 1, 200) at <10279.703125, 167.776642, 9573.936523>
[COT 2021-04-12 22:48:26] 76561198036774377: Spawned Entity Large Stone (Stone<ea3bc2b0>, 1, 200) at <10279.703125, 167.776642, 9573.936523>
[COT 2021-04-12 22:48:26] 76561198036774377: Spawned Entity Large Stone (Stone<eba775e0>, 1, 200) at <10279.703125, 167.776642, 9573.936523>
[COT 2021-04-12 22:48:26] 76561198036774377: Spawned Entity Large Stone (Stone<eff5d820>, 1, 200) at <10279.703125, 167.776642, 9573.936523>
[COT 2021-04-12 22:48:27] 76561198036774377: Spawned Entity Large Stone (Stone<f7a2aa70>, 1, 200) at <10279.703125, 167.776642, 9573.936523>
[COT 2021-04-12 22:48:27] 76561198036774377: Spawned Entity Large Stone (Stone<f7a28010>, 1, 200) at <10279.703125, 167.776642, 9573.936523>
[COT 2021-04-12 22:48:27] 76561198036774377: Spawned Entity Large Stone (Stone<e7ee0400>, 1, 200) at <10279.703125, 167.776642, 9573.936523>
[COT 2021-04-12 22:48:28] 76561198036774377: Spawned Entity Large Stone (Stone<e3a11b60>, 1, 200) at <10279.703125, 167.776642, 9573.936523>
[COT 2021-04-12 22:48:29] 76561198036774377: Spawned Entity Large Stone (Stone<db88ae70>, 1, 200) at <10279.703125, 167.776642, 9573.936523>
[COT 2021-04-12 22:48:29] 76561198036774377: Spawned Entity Large Stone (Stone<d0263650>, 1, 200) at <10279.703125, 167.776642, 9573.936523>
[COT 2021-04-12 22:49:48] 76561198036774377: Healed [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-12 22:50:53] 76561198036774377: Spawned Entity Campfire Tripod (Tripod<ed89c300>, -1, 100) at <10280.317383, 167.776657, 9573.976563>
[COT 2021-04-12 23:33:52] 76561198036774377: Spawned Entity HoneyBadgerGold_mag_40Rnd (Mag_STANAG_30Rnd<465a68e0>, 1, 100) at <10276.760742, 167.776657, 9575.121094>
[COT 2021-04-12 23:33:52] 76561198036774377: Spawned Entity HoneyBadgerGold_mag_40Rnd (Mag_STANAG_30Rnd<465a5a40>, 1, 100) at <10276.760742, 167.776657, 9575.121094>
[COT 2021-04-12 23:33:52] 76561198036774377: Spawned Entity HoneyBadgerGold_mag_40Rnd (Mag_STANAG_30Rnd<465a6190>, 1, 100) at <10276.760742, 167.776657, 9575.121094>
[COT 2021-04-12 23:33:53] 76561198036774377: Spawned Entity HoneyBadgerGold_mag_40Rnd (Mag_STANAG_30Rnd<465a7780>, 1, 100) at <10276.760742, 167.776657, 9575.121094>
[COT 2021-04-12 23:33:53] 76561198036774377: Spawned Entity HoneyBadgerGold_mag_40Rnd (Mag_STANAG_30Rnd<45fa2070>, 1, 100) at <10276.760742, 167.776657, 9575.121094>
[COT 2021-04-12 23:33:53] 76561198036774377: Spawned Entity HoneyBadgerGold_mag_40Rnd (Mag_STANAG_30Rnd<45fa2f10>, 1, 100) at <10276.760742, 167.776657, 9575.121094>
[COT 2021-04-12 23:33:56] 76561198036774377: Spawned Entity HoneyBadgerGold (M4A1_Base<467a83c0>, -1, 200) at <10276.760742, 167.776657, 9575.121094>
[COT 2021-04-12 23:34:06] 76561198036774377: Spawned Entity Trijicon ACOG (ACOGOptic<e11631d0>, -1, 50) at <10276.760742, 167.776657, 9575.121094>
[COT 2021-04-12 23:34:24] 76561198036774377: Spawned Entity F&D Defense .338 MK2 (TTC_FD338_Base<467af310>, -1, 300) at <10276.760742, 167.776657, 9575.121094>
[COT 2021-04-12 23:34:33] 76561198036774377: Spawned Entity 10 round .338 magazine (TTC_338mag_10rnd<45fa53a0>, 1, 100) at <10276.760742, 167.776657, 9575.121094>
[COT 2021-04-12 23:34:33] 76561198036774377: Spawned Entity 10 round .338 magazine (TTC_338mag_10rnd<45fa27c0>, 1, 100) at <10276.760742, 167.776657, 9575.121094>
[COT 2021-04-12 23:34:34] 76561198036774377: Spawned Entity 10 round .338 magazine (TTC_338mag_10rnd<45fa5af0>, 1, 100) at <10276.760742, 167.776657, 9575.121094>
[COT 2021-04-12 23:34:34] 76561198036774377: Spawned Entity 10 round .338 magazine (TTC_338mag_10rnd<45fa86d0>, 1, 100) at <10276.760742, 167.776657, 9575.121094>
[COT 2021-04-12 23:34:34] 76561198036774377: Spawned Entity 10 round .338 magazine (TTC_338mag_10rnd<45fa7f80>, 1, 100) at <10276.760742, 167.776657, 9575.121094>
[COT 2021-04-12 23:34:35] 76561198036774377: Spawned Entity 10 round .338 magazine (TTC_338mag_10rnd<45fa9cc0>, 1, 100) at <10276.760742, 167.776657, 9575.121094>
[COT 2021-04-12 23:34:35] 76561198036774377: Spawned Entity 10 round .338 magazine (TTC_338mag_10rnd<45fa7830>, 1, 100) at <10276.760742, 167.776657, 9575.121094>
[COT 2021-04-12 23:34:35] 76561198036774377: Spawned Entity 10 round .338 magazine (TTC_338mag_10rnd<45fa4c50>, 1, 100) at <10276.760742, 167.776657, 9575.121094>
[COT 2021-04-12 23:34:36] 76561198036774377: Spawned Entity 10 round .338 magazine (TTC_338mag_10rnd<45faa410>, 1, 100) at <10276.760742, 167.776657, 9575.121094>
[COT 2021-04-12 23:34:36] 76561198036774377: Spawned Entity 10 round .338 magazine (TTC_338mag_10rnd<45faab60>, 1, 100) at <10276.760742, 167.776657, 9575.121094>
[COT 2021-04-12 23:34:42] 76561198036774377: Spawned Entity TWP_LongRangeOptic_Black (HuntingOptic<e1170d20>, -1, 100) at <10276.760742, 167.776657, 9575.121094>
[COT 2021-04-12 23:35:54] 76561198036774377: Spawned Entity HoneyBadgerGold_mag_40Rnd (Mag_STANAG_30Rnd<45fb7820>, 1, 100) at <10276.790039, 167.776657, 9575.104492>
[COT 2021-04-12 23:35:54] 76561198036774377: Spawned Entity HoneyBadgerGold_mag_40Rnd (Mag_STANAG_30Rnd<45fb6980>, 1, 100) at <10276.790039, 167.776657, 9575.104492>
[COT 2021-04-12 23:35:54] 76561198036774377: Spawned Entity HoneyBadgerGold_mag_40Rnd (Mag_STANAG_30Rnd<45fb5390>, 1, 100) at <10276.790039, 167.776657, 9575.104492>
[COT 2021-04-12 23:36:19] 76561198036774377: Spawned Entity Solar Power Kit (BBP_Solar_PanelKit<e99b6400>, -1, 100) at <10276.790039, 167.776657, 9575.104492>
[COT 2021-04-12 23:36:37] 76561198036774377: Spawned Entity Power Generator (PowerGenerator<45fc11b0>, -1, 200) at <10276.790039, 167.776657, 9575.104492>
[COT 2021-04-12 23:36:42] 76561198036774377: Spawned Entity Spark Plug (SparkPlug<f950f480>, -1, 20) at <10276.790039, 167.776657, 9575.104492>
[COT 2021-04-12 23:36:48] 76561198036774377: Spawned Entity Construction Light (Spotlight<45fc1900>, -1, 80) at <10276.790039, 167.776657, 9575.104492>
[COT 2021-04-12 23:36:54] 76561198036774377: Spawned Entity Cable Reel (CableReel<c9af49b0>, -1, 90) at <10276.790039, 167.776657, 9575.104492>
[COT 2021-04-12 23:37:00] 76561198036774377: Spawned Entity Cable Reel (CableReel<c9af7b20>, -1, 90) at <10276.790039, 167.776657, 9575.104492>
[COT 2021-04-12 23:37:10] 76561198036774377: Spawned Entity Xmas Lights (XmasLights<c9b10db0>, -1, 40) at <10276.790039, 167.776657, 9575.104492>
[COT 2021-04-12 23:40:30] 76561198036774377: Spawned Entity Beef Steak (CowSteakMeat<fc600890>, 300, 50) at <10279.124023, 167.776657, 9574.223633>
[COT 2021-04-12 23:40:30] 76561198036774377: Spawned Entity Beef Steak (CowSteakMeat<fc5fbf70>, 300, 50) at <10279.124023, 167.776657, 9574.223633>
[COT 2021-04-12 23:40:30] 76561198036774377: Spawned Entity Beef Steak (CowSteakMeat<fc600fe0>, 300, 50) at <10279.124023, 167.776657, 9574.223633>
[COT 2021-04-12 23:40:30] 76561198036774377: Spawned Entity Beef Steak (CowSteakMeat<fc5fd560>, 300, 50) at <10279.124023, 167.776657, 9574.223633>
[COT 2021-04-12 23:40:31] 76561198036774377: Spawned Entity Beef Steak (CowSteakMeat<fc5fb0d0>, 300, 50) at <10279.124023, 167.776657, 9574.223633>
[COT 2021-04-12 23:40:31] 76561198036774377: Spawned Entity Beef Steak (CowSteakMeat<fc606050>, 300, 50) at <10279.124023, 167.776657, 9574.223633>
[COT 2021-04-12 23:58:41] 76561198036774377: Spawned Entity Brick of Skunk Weed (CP_CannabisBrickSkunk<e4650350>, -1, 30) at <10280.166016, 167.933746, 9571.574219>
[COT 2021-04-12 23:58:41] 76561198036774377: Spawned Entity Brick of Skunk Weed (CP_CannabisBrickSkunk<3fec5d00>, -1, 30) at <10280.166016, 167.933746, 9571.574219>
