[COT 2021-04-11 22:15:30] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-11 22:15:30] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-11 22:15:30] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-11 22:15:41] 76561198036774377: Teleported to position <455.112701, 421.818268, 11200.429688>
[COT 2021-04-11 22:24:12] 76561198036774377: Spawned Entity AirSoft Mag AK (Mag_AKM_30Rnd<c63fb8a0>, 1, 100) at <456.050995, 422.889069, 11169.777344>
[COT 2021-04-11 22:24:12] 76561198036774377: Spawned Entity AirSoft Mag AK (Mag_AKM_30Rnd<c63fdd30>, 1, 100) at <456.050995, 422.889069, 11169.777344>
[COT 2021-04-11 22:24:12] 76561198036774377: Spawned Entity AirSoft Mag AK (Mag_AKM_30Rnd<c6400910>, 1, 100) at <456.050995, 422.889069, 11169.777344>
[COT 2021-04-11 22:24:13] 76561198036774377: Spawned Entity AirSoft Mag AK (Mag_AKM_30Rnd<c6401f00>, 1, 100) at <456.050995, 422.889069, 11169.777344>
[COT 2021-04-11 22:26:32] 76561198036774377: Spawned Entity Magpul PRS Buttstock (TTC_Buttstock<d128a320>, -1, 100) at <456.148041, 422.889069, 11169.548828>
[COT 2021-04-11 22:27:06] 76561198036774377: Spawned Entity KA Wooden Buttstock (AK_WoodBttstck<d1289500>, -1, 300) at <456.148041, 422.889069, 11169.548828>
[COT 2021-04-11 22:27:06] 76561198036774377: Spawned Entity KA Wooden Buttstock (AK_WoodBttstck<d1289c10>, -1, 300) at <456.148041, 422.889069, 11169.548828>
[COT 2021-04-11 22:27:53] 76561198036774377: Spawned Entity KA Wooden Buttstock (AK_WoodBttstck<6d805230>, -1, 300) at <456.148041, 422.889069, 11169.548828>
[COT 2021-04-11 22:27:53] 76561198036774377: Spawned Entity KA Wooden Buttstock (AK_WoodBttstck<6d81c880>, -1, 300) at <456.148041, 422.889069, 11169.548828>
[COT 2021-04-11 22:27:53] 76561198036774377: Spawned Entity KA Wooden Buttstock (AK_WoodBttstck<3fc94f40>, -1, 300) at <456.148041, 422.889069, 11169.548828>
[COT 2021-04-11 22:27:53] 76561198036774377: Spawned Entity KA Wooden Buttstock (AK_WoodBttstck<46539790>, -1, 300) at <456.148041, 422.889069, 11169.548828>
[COT 2021-04-11 22:27:53] 76561198036774377: Spawned Entity KA Wooden Buttstock (AK_WoodBttstck<5a00b230>, -1, 300) at <456.148041, 422.889069, 11169.548828>
[COT 2021-04-11 22:27:54] 76561198036774377: Spawned Entity KA Wooden Buttstock (AK_WoodBttstck<5eafaf20>, -1, 300) at <456.148041, 422.889069, 11169.548828>
[COT 2021-04-11 22:28:39] 76561198036774377: Spawned Entity 762x39 Airsoft rounds (Ammo_762x39<c9931390>, 1, 100) at <456.148041, 422.889069, 11169.548828>
