[COT 2021-03-20 04:04:27] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-20 04:04:27] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-20 04:04:27] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-20 04:04:30] 76561198036774377: Healed [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-20 04:04:36] 76561198036774377: Entered the Free Camera
[COT 2021-03-20 04:07:42] 76561198036774377: Spawned Entity HoneyBadgerGold_mag_40Rnd (Mag_STANAG_30Rnd<eceeb540>, 1, 100) at <10367.425781, 6.990781, 1664.709961>
[COT 2021-03-20 04:07:43] 76561198036774377: Spawned Entity HoneyBadgerGold_mag_40Rnd (Mag_STANAG_30Rnd<eceee870>, 1, 100) at <10367.594727, 6.977650, 1664.961548>
[COT 2021-03-20 04:07:44] 76561198036774377: Spawned Entity HoneyBadgerGold_mag_40Rnd (Mag_STANAG_30Rnd<eceee120>, 1, 100) at <10368.208984, 7.022998, 1664.505493>
[COT 2021-03-20 04:07:46] 76561198036774377: Spawned Entity HoneyBadgerGold_mag_40Rnd (Mag_STANAG_30Rnd<ecee7ac0>, 1, 100) at <10368.125977, 6.977651, 1663.957886>
[COT 2021-03-20 04:07:47] 76561198036774377: Spawned Entity HoneyBadgerGold_mag_40Rnd (Mag_STANAG_30Rnd<eceefe60>, 1, 100) at <10367.888672, 7.083316, 1663.940430>
[COT 2021-03-20 04:07:48] 76561198036774377: Spawned Entity HoneyBadgerGold_mag_40Rnd (Mag_STANAG_30Rnd<eceeefc0>, 1, 100) at <10367.465820, 6.977651, 1664.193604>
[COT 2021-03-20 04:07:50] 76561198036774377: Spawned Entity HoneyBadgerGold_mag_40Rnd (Mag_STANAG_30Rnd<ecef0d00>, 1, 100) at <10367.598633, 7.027263, 1664.399170>
[COT 2021-03-20 04:07:56] 76561198036774377: Spawned Entity MSBS_GrotBGold_mag_30Rnd (Mag_STANAG_30Rnd<ecef05b0>, 1, 100) at <10367.607422, 7.040720, 1664.381592>
[COT 2021-03-20 04:07:57] 76561198036774377: Spawned Entity MSBS_GrotBGold_mag_30Rnd (Mag_STANAG_30Rnd<ecef7360>, 1, 100) at <10367.827148, 6.977651, 1664.319580>
[COT 2021-03-20 04:07:58] 76561198036774377: Spawned Entity MSBS_GrotBGold_mag_30Rnd (Mag_STANAG_30Rnd<ecef22f0>, 1, 100) at <10368.109375, 6.977651, 1664.297729>
[COT 2021-03-20 04:08:00] 76561198036774377: Spawned Entity MSBS_GrotBGold_mag_30Rnd (Mag_STANAG_30Rnd<ecef90a0>, 1, 100) at <10368.094727, 7.103896, 1664.265137>
[COT 2021-03-20 04:08:01] 76561198036774377: Spawned Entity MSBS_GrotBGold_mag_30Rnd (Mag_STANAG_30Rnd<ecefade0>, 1, 100) at <10368.028320, 7.109545, 1664.404419>
[COT 2021-03-20 04:08:02] 76561198036774377: Spawned Entity MSBS_GrotBGold_mag_30Rnd (Mag_STANAG_30Rnd<6b8e6a40>, 1, 100) at <10367.498047, 7.048800, 1664.806885>
[COT 2021-03-20 04:08:03] 76561198036774377: Spawned Entity MSBS_GrotBGold_mag_30Rnd (Mag_STANAG_30Rnd<6b8c9640>, 1, 100) at <10367.516602, 6.977650, 1664.980957>
[COT 2021-03-20 04:08:05] 76561198036774377: Spawned Entity MSBS_GrotBGold_mag_30Rnd (Mag_STANAG_30Rnd<4a56b800>, 1, 100) at <10367.840820, 6.977650, 1665.037354>
[COT 2021-03-20 04:08:06] 76561198036774377: Spawned Entity MSBS_GrotBGold_mag_30Rnd (Mag_STANAG_30Rnd<4a536070>, 1, 100) at <10367.987305, 6.977650, 1664.956177>
[COT 2021-03-20 04:08:08] 76561198036774377: Spawned Entity MSBS_GrotBGold_mag_30Rnd (Mag_STANAG_30Rnd<6cfe11c0>, 1, 100) at <10368.076172, 7.123796, 1664.245361>
[COT 2021-03-20 04:08:13] 76561198036774377: Spawned Entity MSBS_GrotBGold (MP5K_Base<ba7e600>, -1, 200) at <10368.118164, 6.997842, 1663.673218>
[COT 2021-03-20 04:08:15] 76561198036774377: Spawned Entity MSBS_GrotBGold (MP5K_Base<ba77f40>, -1, 200) at <10367.317383, 7.012770, 1664.472290>
[COT 2021-03-20 04:08:20] 76561198036774377: Spawned Entity Colt1911Gold (Colt1911_Base<ba810d0>, -1, 200) at <10367.375977, 6.977651, 1664.262207>
[COT 2021-03-20 04:08:22] 76561198036774377: Spawned Entity Colt1911Gold (Colt1911_Base<ba821f0>, -1, 200) at <10367.662109, 7.049793, 1664.424683>
[COT 2021-03-20 04:08:25] 76561198036774377: Spawned Entity Colt1911Gold_mag_7Rnd (Mag_1911_7Rnd<6cfe3da0>, 1, 200) at <10368.665039, 6.977650, 1664.174561>
[COT 2021-03-20 04:08:28] 76561198036774377: Spawned Entity Colt1911Gold_mag_7Rnd (Mag_1911_7Rnd<6cff3d90>, 1, 200) at <10368.514648, 6.977650, 1664.657104>
[COT 2021-03-20 04:08:29] 76561198036774377: Spawned Entity Colt1911Gold_mag_7Rnd (Mag_1911_7Rnd<6cfeed20>, 1, 200) at <10367.665039, 7.079551, 1664.617676>
[COT 2021-03-20 04:08:30] 76561198036774377: Spawned Entity Colt1911Gold_mag_7Rnd (Mag_1911_7Rnd<550f2960>, 1, 200) at <10367.755859, 7.067721, 1664.228638>
[COT 2021-03-20 04:08:42] 76561198036774377: Spawned Entity Packed Cannabis Skunk Seeds (CP_CannabisSeedsPackSkunk<6cb06730>, -1, 5) at <10367.759766, 7.076067, 1664.218506>
[COT 2021-03-20 04:08:44] 76561198036774377: Spawned Entity Packed Purple Kush Cannabis Seeds (CP_CannabisSeedsPackKush<5f2945f0>, -1, 5) at <10367.455078, 7.019844, 1664.429077>
[COT 2021-03-20 04:08:47] 76561198036774377: Spawned Entity Packed Cannabis Stardawg Seeds (CP_CannabisSeedsPackStardawg<5d812030>, -1, 5) at <10367.948242, 7.016145, 1664.297607>
[COT 2021-03-20 04:08:49] 76561198036774377: Spawned Entity Packed Cannabis Future Seeds (CP_CannabisSeedsPackFuture<646dcda0>, -1, 5) at <10368.286133, 7.112808, 1664.147705>
