[COT 2021-03-07 22:37:37] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6cc0e8c0>, -1, 100) at <12661.236328, 7.743246, 9844.391602>
[COT 2021-03-07 22:37:38] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6cc1d290>, -1, 100) at <12661.234375, 7.755187, 9844.412109>
[COT 2021-03-07 22:37:38] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6cc19a20>, -1, 100) at <12661.232422, 7.763570, 9844.425781>
[COT 2021-03-07 22:37:38] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6cc1daa0>, -1, 100) at <12661.232422, 7.764801, 9844.427734>
[COT 2021-03-07 22:37:38] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6cc4b850>, -1, 100) at <12661.232422, 7.764801, 9844.427734>
[COT 2021-03-07 22:37:38] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6cc1b250>, -1, 100) at <12661.232422, 7.764801, 9844.427734>
[COT 2021-03-07 22:37:38] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6cc1f2d0>, -1, 100) at <12661.217773, 7.828346, 9844.527344>
[COT 2021-03-07 22:37:39] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6cc1fae0>, -1, 100) at <12661.232422, 7.764493, 9844.427734>
[COT 2021-03-07 22:37:39] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6cc18a00>, -1, 100) at <12661.232422, 7.764493, 9844.427734>
[COT 2021-03-07 22:37:39] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6cc22b40>, -1, 100) at <12661.232422, 7.764493, 9844.427734>
[COT 2021-03-07 22:37:39] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6cc23350>, -1, 100) at <12661.232422, 7.764801, 9844.427734>
[COT 2021-03-07 22:37:39] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6cc21b20>, -1, 100) at <12661.231445, 7.765569, 9844.428711>
[COT 2021-03-07 22:37:39] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6cc23b60>, -1, 100) at <12661.231445, 7.765569, 9844.428711>
[COT 2021-03-07 22:37:40] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6cc24b80>, -1, 100) at <12661.231445, 7.765569, 9844.428711>
[COT 2021-03-07 22:37:40] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6cc1e2b0>, -1, 100) at <12661.231445, 7.765267, 9844.427734>
[COT 2021-03-07 22:37:40] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6cc1a230>, -1, 100) at <12661.232422, 7.764493, 9844.427734>
[COT 2021-03-07 22:37:40] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6cc27be0>, -1, 100) at <12661.232422, 7.764493, 9844.427734>
[COT 2021-03-07 22:37:40] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6cc2a430>, -1, 100) at <12661.232422, 7.764493, 9844.427734>
[COT 2021-03-07 22:37:40] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6cc283f0>, -1, 100) at <12661.232422, 7.764801, 9844.427734>
[COT 2021-03-07 22:37:41] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6cc28c00>, -1, 100) at <12661.232422, 7.764801, 9844.427734>
[COT 2021-03-07 22:37:41] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<6cc2b450>, -1, 100) at <12661.232422, 7.764493, 9844.427734>
[COT 2021-03-07 22:37:48] 76561198036774377: Left the Free Camera
[COT 2021-03-07 22:39:17] 76561198036774377: Entered the Free Camera
[COT 2021-03-07 22:39:46] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<96852770>, 100, 100) at <10463.632813, 5.999972, 2259.526855>
[COT 2021-03-07 22:39:59] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a2f110>, 100, 100) at <10465.329102, 6.000000, 2258.688232>
[COT 2021-03-07 22:39:59] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a31150>, 100, 100) at <10465.329102, 6.000000, 2258.688232>
[COT 2021-03-07 22:39:59] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a31960>, 100, 100) at <10465.329102, 6.000000, 2258.688232>
[COT 2021-03-07 22:39:59] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a2a070>, 100, 100) at <10465.329102, 6.000000, 2258.688232>
[COT 2021-03-07 22:39:59] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a32170>, 100, 100) at <10465.329102, 6.000000, 2258.688232>
[COT 2021-03-07 22:40:00] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a32980>, 100, 100) at <10465.329102, 6.000000, 2258.688232>
[COT 2021-03-07 22:40:00] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a33190>, 100, 100) at <10465.329102, 6.000000, 2258.688232>
[COT 2021-03-07 22:40:00] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a339a0>, 100, 100) at <10465.329102, 6.000000, 2258.688232>
[COT 2021-03-07 22:40:00] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a2d0d0>, 100, 100) at <10465.329102, 6.000000, 2258.688232>
[COT 2021-03-07 22:40:00] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a39a60>, 100, 100) at <10465.329102, 6.000000, 2258.688232>
[COT 2021-03-07 22:40:00] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a3b290>, 100, 100) at <10465.329102, 6.000000, 2258.688232>
[COT 2021-03-07 22:40:00] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a3d2d0>, 100, 100) at <10465.329102, 6.000000, 2258.688232>
[COT 2021-03-07 22:40:01] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a3aa80>, 100, 100) at <10465.329102, 6.000000, 2258.688232>
[COT 2021-03-07 22:40:01] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a3c2b0>, 100, 100) at <10465.329102, 6.000000, 2258.688232>
[COT 2021-03-07 22:40:01] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a3dae0>, 100, 100) at <10462.668945, 8.002471, 2258.989014>
[COT 2021-03-07 22:40:01] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a30940>, 100, 100) at <10465.329102, 6.000000, 2258.688232>
[COT 2021-03-07 22:40:01] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a36a00>, 100, 100) at <10465.329102, 6.000000, 2258.688232>
[COT 2021-03-07 22:40:01] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a3eb00>, 100, 100) at <10462.356445, 8.237927, 2259.024170>
[COT 2021-03-07 22:40:02] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a3e2f0>, 100, 100) at <10462.356445, 8.237927, 2259.024170>
[COT 2021-03-07 22:40:02] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a3a270>, 100, 100) at <10462.355469, 8.237963, 2259.024170>
[COT 2021-03-07 22:40:02] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a3f310>, 100, 100) at <10462.356445, 8.237927, 2259.024170>
[COT 2021-03-07 22:40:02] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a3fb20>, 100, 100) at <10462.356445, 8.237927, 2259.024170>
[COT 2021-03-07 22:40:02] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a40b40>, 100, 100) at <10462.356445, 8.237927, 2259.024170>
[COT 2021-03-07 22:40:02] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a40330>, 100, 100) at <10462.474609, 8.148437, 2259.010742>
[COT 2021-03-07 22:40:03] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a39250>, 100, 100) at <10465.329102, 6.000000, 2258.688232>
[COT 2021-03-07 22:40:03] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a463f0>, 100, 100) at <10465.329102, 6.000000, 2258.688232>
[COT 2021-03-07 22:40:03] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a42370>, 100, 100) at <10462.162109, 8.384210, 2259.046143>
[COT 2021-03-07 22:40:03] 76561198036774377: Spawned Entity Infected (ZmbM_SoldierNormal_Base<61a361f0>, 100, 100) at <10461.302734, 9.031154, 2259.143066>
