[COT 2021-03-19 22:06:38] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-19 22:06:38] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-19 22:06:38] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-03-19 23:10:06] 76561198036774377: Spawned Entity EGD-5 Frag Grenade (RGD5Grenade<982f80a0>, -1, 50) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:06] 76561198036774377: Spawned Entity EGD-5 Frag Grenade (RGD5Grenade<982ff9a0>, -1, 50) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:06] 76561198036774377: Spawned Entity EGD-5 Frag Grenade (RGD5Grenade<98304cd0>, -1, 50) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:07] 76561198036774377: Spawned Entity EGD-5 Frag Grenade (RGD5Grenade<98303620>, -1, 50) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:08] 76561198036774377: Spawned Entity 6-M7 Frag Grenade (M67Grenade<98302700>, -1, 50) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:08] 76561198036774377: Spawned Entity 6-M7 Frag Grenade (M67Grenade<98301f70>, -1, 50) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:08] 76561198036774377: Spawned Entity 6-M7 Frag Grenade (M67Grenade<98302e90>, -1, 50) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:08] 76561198036774377: Spawned Entity 6-M7 Frag Grenade (M67Grenade<98300130>, -1, 50) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:09] 76561198036774377: Spawned Entity 6-M7 Frag Grenade (M67Grenade<98303db0>, -1, 50) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:10] 76561198036774377: Spawned Entity 1-M8 Smoke Grenade (M18SmokeGrenade_Red<e93da5f0>, -1, 20) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:10] 76561198036774377: Spawned Entity 1-M8 Smoke Grenade (M18SmokeGrenade_Red<5e17ee10>, -1, 20) at <10386.549805, 6.183805, 1667.725098>
[COT 2021-03-19 23:10:10] 76561198036774377: Spawned Entity 1-M8 Smoke Grenade (M18SmokeGrenade_Red<9cac0a70>, -1, 20) at <10386.549805, 6.183805, 1667.725098>
