[COT 2021-02-19 00:49:30] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-19 00:49:30] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-19 00:49:41] 76561198036774377: Set rain to 0 0 0
[COT 2021-02-19 00:49:41] 76561198036774377: Set storm to 0 0.8 4000
[COT 2021-02-19 00:49:41] 76561198036774377: Set fog to 0.0745777 0 0
[COT 2021-02-19 00:49:41] 76561198036774377: Set overcast to 0.39723 0 0
[COT 2021-02-19 00:49:41] 76561198036774377: Set the date to 2021/10/5 6:14
[COT 2021-02-19 00:49:41] 76561198036774377: Set wind to 9.10803 9.10803 1
[COT 2021-02-19 00:49:52] 76561198036774377: Set rain to 0 0 0
[COT 2021-02-19 00:49:52] 76561198036774377: Set storm to 0 0.8 4000
[COT 2021-02-19 00:49:52] 76561198036774377: Set fog to 0.0745777 0 0
[COT 2021-02-19 00:49:52] 76561198036774377: Set overcast to 0.06 0 0
[COT 2021-02-19 00:49:52] 76561198036774377: Set the date to 2021/10/5 6:14
[COT 2021-02-19 00:49:52] 76561198036774377: Set wind to 0.09 0.09 1
[COT 2021-02-19 01:00:06] 76561198036774377: Spawned Entity Medium Tent (MediumTent_Green<df84d4b0>, -1, 600) at <964.258850, 111.777275, 3976.378906>
[COT 2021-02-19 01:01:21] 76561198036774377: Spawned Entity VSSK (SVD_Base<e346ca40>, -1, 250) at <967.343933, 111.046585, 3979.226074>
[COT 2021-02-19 01:01:21] 76561198036774377: Spawned Entity VSSK (SVD_Base<e346d2d0>, -1, 250) at <967.343933, 111.046585, 3979.226074>
[COT 2021-02-19 01:01:23] 76561198036774377: Spawned Entity 10rd VSS Mag (Mag_VSS_10Rnd<70710ef0>, 1, 100) at <967.343933, 111.046585, 3979.226074>
[COT 2021-02-19 01:01:23] 76561198036774377: Spawned Entity 10rd VSS Mag (Mag_VSS_10Rnd<70726df0>, 1, 100) at <967.343933, 111.046585, 3979.226074>
[COT 2021-02-19 01:01:23] 76561198036774377: Spawned Entity 10rd VSS Mag (Mag_VSS_10Rnd<7072dba0>, 1, 100) at <967.343933, 111.046585, 3979.226074>
[COT 2021-02-19 01:01:23] 76561198036774377: Spawned Entity 10rd VSS Mag (Mag_VSS_10Rnd<63bf1720>, 1, 100) at <967.343933, 111.046585, 3979.226074>
[COT 2021-02-19 01:01:24] 76561198036774377: Spawned Entity 10rd VSS Mag (Mag_VSS_10Rnd<63bba9a0>, 1, 100) at <967.343933, 111.046585, 3979.226074>
[COT 2021-02-19 01:01:25] 76561198036774377: Spawned Entity VSSK_mag_5Rnd (Mag_SVD_10Rnd<7478fe30>, 1, 100) at <967.343933, 111.046585, 3979.226074>
[COT 2021-02-19 01:01:25] 76561198036774377: Spawned Entity VSSK_mag_5Rnd (Mag_SVD_10Rnd<7479e830>, 1, 100) at <967.343933, 111.046585, 3979.226074>
