[COT 2021-02-18 00:25:09] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-18 00:25:09] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-18 00:25:22] 76561198036774377: Teleported to position <3725.457520, 401.586273, 6010.338867>
[COT 2021-02-18 01:05:04] 76561198036774377: Spawned Entity Glock18Egyptian_mag_17Rnd (Mag_Glock_15Rnd<75cf9490>, 1, 150) at <3701.280762, 402.381409, 5991.698242>
[COT 2021-02-18 01:05:04] 76561198036774377: Spawned Entity Glock18Egyptian_mag_17Rnd (Mag_Glock_15Rnd<75d07e90>, 1, 150) at <3701.280762, 402.381409, 5991.698242>
[COT 2021-02-18 01:05:06] 76561198036774377: Spawned Entity Glock18Honor_mag_17Rnd (Mag_Glock_15Rnd<75d05a00>, 1, 150) at <3701.280762, 402.381409, 5991.698242>
[COT 2021-02-18 01:05:06] 76561198036774377: Spawned Entity Glock18Honor_mag_17Rnd (Mag_Glock_15Rnd<75d026d0>, 1, 150) at <3701.280762, 402.381409, 5991.698242>
[COT 2021-02-18 01:05:07] 76561198036774377: Spawned Entity Glock18Jungle_mag_17Rnd (Mag_Glock_15Rnd<726a5190>, 1, 150) at <3701.280762, 402.381409, 5991.698242>
[COT 2021-02-18 01:05:07] 76561198036774377: Spawned Entity Glock18Jungle_mag_17Rnd (Mag_Glock_15Rnd<726a0fc0>, 1, 150) at <3701.280762, 402.381409, 5991.698242>
[COT 2021-02-18 01:05:09] 76561198036774377: Spawned Entity Glock18Rebel_mag_17Rnd (Mag_Glock_15Rnd<72681730>, 1, 150) at <3701.280762, 402.381409, 5991.698242>
[COT 2021-02-18 01:05:09] 76561198036774377: Spawned Entity Glock18Rebel_mag_17Rnd (Mag_Glock_15Rnd<72682d20>, 1, 150) at <3701.280762, 402.381409, 5991.698242>
[COT 2021-02-18 01:05:10] 76561198036774377: Spawned Entity Glock18Weasel_mag_17Rnd (Mag_Glock_15Rnd<7269c6a0>, 1, 150) at <3701.280762, 402.381409, 5991.698242>
[COT 2021-02-18 01:05:10] 76561198036774377: Spawned Entity Glock18Weasel_mag_17Rnd (Mag_Glock_15Rnd<72696040>, 1, 150) at <3701.280762, 402.381409, 5991.698242>
[COT 2021-02-18 01:05:11] 76561198036774377: Spawned Entity Glock18Wolf_mag_17Rnd (Mag_Glock_15Rnd<5f621f00>, 1, 150) at <3701.280762, 402.381409, 5991.698242>
[COT 2021-02-18 01:05:11] 76561198036774377: Spawned Entity Glock18Wolf_mag_17Rnd (Mag_Glock_15Rnd<5f63b880>, 1, 150) at <3701.280762, 402.381409, 5991.698242>
[COT 2021-02-18 01:05:13] 76561198036774377: Spawned Entity Glock42_mag_12Rnd (Mag_Glock_15Rnd<5f6076e0>, 1, 100) at <3701.280762, 402.381409, 5991.698242>
[COT 2021-02-18 01:05:13] 76561198036774377: Spawned Entity Glock42_mag_12Rnd (Mag_Glock_15Rnd<5f61b150>, 1, 100) at <3701.280762, 402.381409, 5991.698242>
[COT 2021-02-18 01:05:16] 76561198036774377: Spawned Entity Glock19M_mag_15Rnd (Mag_Glock_15Rnd<5f6217b0>, 1, 150) at <3701.280762, 402.381409, 5991.698242>
[COT 2021-02-18 01:05:16] 76561198036774377: Spawned Entity Glock19M_mag_15Rnd (Mag_Glock_15Rnd<5f614af0>, 1, 150) at <3701.280762, 402.381409, 5991.698242>
[COT 2021-02-18 01:07:17] 76561198036774377: Spawned Entity S10 Respirator - Black (GP5GasMask<7245be80>, -1, 100) at <3707.812256, 431.103027, 5959.303223>
[COT 2021-02-18 01:07:55] 76561198036774377: Spawned Entity GP5GasMask Filter (GP5GasMask_Filter<3cf753c0>, 45, 100) at <3707.812256, 431.103027, 5959.303223>
[COT 2021-02-18 01:08:44] 76561198036774377: Spawned Entity SRGlock_mag_33Rnd (Mag_CZ61_20Rnd<6f7cda00>, 1, 100) at <3700.507080, 402.381287, 5992.134277>
[COT 2021-02-18 01:08:44] 76561198036774377: Spawned Entity SRGlock_mag_33Rnd (Mag_CZ61_20Rnd<6f7f2a50>, 1, 100) at <3700.507080, 402.381287, 5992.134277>
[COT 2021-02-18 01:08:45] 76561198036774377: Spawned Entity SRGlock_mag_33Rnd (Mag_CZ61_20Rnd<71a89b00>, 1, 100) at <3700.507080, 402.381287, 5992.134277>
[COT 2021-02-18 01:08:45] 76561198036774377: Spawned Entity SRGlock_mag_33Rnd (Mag_CZ61_20Rnd<71a95920>, 1, 100) at <3700.507080, 402.381287, 5992.134277>
[COT 2021-02-18 01:08:45] 76561198036774377: Spawned Entity SRGlock_mag_33Rnd (Mag_CZ61_20Rnd<71aa0150>, 1, 100) at <3700.507080, 402.381287, 5992.134277>
[COT 2021-02-18 01:08:45] 76561198036774377: Spawned Entity SRGlock_mag_33Rnd (Mag_CZ61_20Rnd<71ab9ad0>, 1, 100) at <3700.507080, 402.381287, 5992.134277>
[COT 2021-02-18 01:08:45] 76561198036774377: Spawned Entity SRGlock_mag_33Rnd (Mag_CZ61_20Rnd<72a36b50>, 1, 100) at <3700.507080, 402.381287, 5992.134277>
[COT 2021-02-18 01:08:46] 76561198036774377: Spawned Entity SRGlock_mag_33Rnd (Mag_CZ61_20Rnd<72a372a0>, 1, 100) at <3700.507080, 402.381287, 5992.134277>
[COT 2021-02-18 01:08:46] 76561198036774377: Spawned Entity SRGlock_mag_33Rnd (Mag_CZ61_20Rnd<72a530b0>, 1, 100) at <3700.507080, 402.381287, 5992.134277>
[COT 2021-02-18 01:08:46] 76561198036774377: Spawned Entity SRGlock_mag_33Rnd (Mag_CZ61_20Rnd<72a546a0>, 1, 100) at <3700.507080, 402.381287, 5992.134277>
[COT 2021-02-18 01:08:46] 76561198036774377: Spawned Entity SRGlock_mag_33Rnd (Mag_CZ61_20Rnd<676866c0>, 1, 100) at <3700.507080, 402.381287, 5992.134277>
[COT 2021-02-18 01:11:39] 76561198036774377: Teleported to position <2393.600098, 365.915924, 14027.200195>
[COT 2021-02-18 01:11:54] 76561198036774377: Teleported to position <3427.289551, 204.873688, 13373.648438>
[COT 2021-02-18 01:12:04] 76561198036774377: Spawned Entity Medium Tent (MediumTent<68bb7840>, -1, 600) at <3428.488037, 204.595947, 13372.349609>
[COT 2021-02-18 01:12:55] 76561198036774377: Spawned Entity Glock42 (Glock19_Base<33aa42b0>, -1, 150) at <3427.413086, 203.353409, 13323.183594>
[COT 2021-02-18 01:12:55] 76561198036774377: Spawned Entity Glock42 (Glock19_Base<33aa17e0>, -1, 150) at <3427.413086, 203.353409, 13323.183594>
[COT 2021-02-18 01:12:58] 76561198036774377: Spawned Entity GlockLight (TWP_GlockLight<757e0480>, -1, 70) at <3427.413086, 203.353409, 13323.183594>
[COT 2021-02-18 01:12:58] 76561198036774377: Spawned Entity GlockLight (TWP_GlockLight<757f1f00>, -1, 70) at <3427.413086, 203.353409, 13323.183594>
[COT 2021-02-18 01:13:05] 76561198036774377: Spawned Entity Glock42_mag_50Rnd (Mag_Glock_15Rnd<73f16a60>, 1, 100) at <3427.413086, 203.353409, 13323.183594>
