[COT 2021-04-05 18:03:14] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-05 18:03:14] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-05 18:03:14] 76561198036774377: Set UnlimitedStamina To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-04-05 18:03:28] 76561198036774377: Teleported to position <7700.950195, 198.561523, 5948.005371>
[COT 2021-04-05 18:04:55] 76561198036774377: Teleported to position <12585.509766, 6.808196, 3688.137695>
[COT 2021-04-05 18:05:06] 76561198036774377: Entered the Free Camera
[COT 2021-04-05 18:09:02] 76561198036774377: Spawned Entity AmmoBox .300BLK (TTC_AmmoBox_300blk_20rnd<4bb45100>, -1, 100) at <12555.657227, 4.514589, 3658.535645>
[COT 2021-04-05 18:09:02] 76561198036774377: Spawned Entity AmmoBox .300BLK (TTC_AmmoBox_300blk_20rnd<4bb42db0>, -1, 100) at <12555.657227, 4.514589, 3658.535645>
[COT 2021-04-05 18:09:02] 76561198036774377: Spawned Entity AmmoBox .300BLK (TTC_AmmoBox_300blk_20rnd<4bb3f530>, -1, 100) at <12555.657227, 4.514589, 3658.535645>
[COT 2021-04-05 18:09:02] 76561198036774377: Spawned Entity AmmoBox .300BLK (TTC_AmmoBox_300blk_20rnd<4bb426a0>, -1, 100) at <12555.657227, 4.514589, 3658.535645>
[COT 2021-04-05 18:09:02] 76561198036774377: Spawned Entity AmmoBox .300BLK (TTC_AmmoBox_300blk_20rnd<4bb434c0>, -1, 100) at <12555.657227, 4.514589, 3658.535645>
[COT 2021-04-05 18:09:02] 76561198036774377: Spawned Entity AmmoBox .300BLK (TTC_AmmoBox_300blk_20rnd<4bb43bd0>, -1, 100) at <12555.657227, 4.514589, 3658.535645>
[COT 2021-04-05 18:09:02] 76561198036774377: Spawned Entity AmmoBox .300BLK (TTC_AmmoBox_300blk_20rnd<4bb41f90>, -1, 100) at <12555.657227, 4.514589, 3658.535645>
[COT 2021-04-05 18:09:03] 76561198036774377: Spawned Entity AmmoBox .300BLK (TTC_AmmoBox_300blk_20rnd<4bb3e710>, -1, 100) at <12555.657227, 4.514589, 3658.535645>
[COT 2021-04-05 18:09:03] 76561198036774377: Spawned Entity AmmoBox .300BLK (TTC_AmmoBox_300blk_20rnd<4bb40a60>, -1, 100) at <12555.657227, 4.514589, 3658.535645>
[COT 2021-04-05 18:09:03] 76561198036774377: Spawned Entity AmmoBox .300BLK (TTC_AmmoBox_300blk_20rnd<4bb45f20>, -1, 100) at <12555.657227, 4.514589, 3658.535645>
[COT 2021-04-05 18:09:03] 76561198036774377: Spawned Entity AmmoBox .300BLK (TTC_AmmoBox_300blk_20rnd<4bb46630>, -1, 100) at <12555.657227, 4.514589, 3658.535645>
[COT 2021-04-05 18:09:03] 76561198036774377: Spawned Entity AmmoBox .300BLK (TTC_AmmoBox_300blk_20rnd<4bb49eb0>, -1, 100) at <12555.657227, 4.514589, 3658.535645>
[COT 2021-04-05 18:09:03] 76561198036774377: Spawned Entity AmmoBox .300BLK (TTC_AmmoBox_300blk_20rnd<4bb46d40>, -1, 100) at <12555.657227, 4.514589, 3658.535645>
[COT 2021-04-05 18:09:04] 76561198036774377: Spawned Entity AmmoBox .300BLK (TTC_AmmoBox_300blk_20rnd<4bb47b60>, -1, 100) at <12555.657227, 4.514589, 3658.535645>
[COT 2021-04-05 18:09:04] 76561198036774377: Spawned Entity AmmoBox .300BLK (TTC_AmmoBox_300blk_20rnd<4bb49090>, -1, 100) at <12555.657227, 4.514589, 3658.535645>
[COT 2021-04-05 18:09:04] 76561198036774377: Spawned Entity AmmoBox .300BLK (TTC_AmmoBox_300blk_20rnd<4bb48980>, -1, 100) at <12555.657227, 4.514589, 3658.535645>
[COT 2021-04-05 18:09:04] 76561198036774377: Spawned Entity AmmoBox .300BLK (TTC_AmmoBox_300blk_20rnd<4bb45810>, -1, 100) at <12555.657227, 4.514589, 3658.535645>
[COT 2021-04-05 18:09:04] 76561198036774377: Spawned Entity AmmoBox .300BLK (TTC_AmmoBox_300blk_20rnd<4bb4baf0>, -1, 100) at <12555.657227, 4.514589, 3658.535645>
[COT 2021-04-05 18:09:04] 76561198036774377: Spawned Entity AmmoBox .300BLK (TTC_AmmoBox_300blk_20rnd<4bb442e0>, -1, 100) at <12555.657227, 4.514589, 3658.535645>
[COT 2021-04-05 18:09:05] 76561198036774377: Spawned Entity AmmoBox .300BLK (TTC_AmmoBox_300blk_20rnd<4bb497a0>, -1, 100) at <12555.657227, 4.514589, 3658.535645>
[COT 2021-04-05 18:09:05] 76561198036774377: Spawned Entity AmmoBox .300BLK (TTC_AmmoBox_300blk_20rnd<4bb4a5c0>, -1, 100) at <12555.657227, 4.514589, 3658.535645>
[COT 2021-04-05 18:09:05] 76561198036774377: Spawned Entity AmmoBox .300BLK (TTC_AmmoBox_300blk_20rnd<4bb4acd0>, -1, 100) at <12555.657227, 4.514589, 3658.535645>
[COT 2021-04-05 18:10:17] 76561198036774377: Spawned Entity .300BLK CMag (TTC_300Cmag<490b04e0>, 1, 100) at <12555.657227, 4.514589, 3658.535645>
[COT 2021-04-05 18:10:17] 76561198036774377: Spawned Entity .300BLK CMag (TTC_300Cmag<490b2970>, 1, 100) at <12555.657227, 4.514589, 3658.535645>
[COT 2021-04-05 18:10:17] 76561198036774377: Spawned Entity .300BLK CMag (TTC_300Cmag<490af640>, 1, 100) at <12555.657227, 4.514589, 3658.535645>
[COT 2021-04-05 18:10:17] 76561198036774377: Spawned Entity .300BLK CMag (TTC_300Cmag<490b3810>, 1, 100) at <12555.657227, 4.514589, 3658.535645>
[COT 2021-04-05 18:10:17] 76561198036774377: Spawned Entity .300BLK CMag (TTC_300Cmag<490afd90>, 1, 100) at <12555.657227, 4.514589, 3658.535645>
[COT 2021-04-05 18:10:18] 76561198036774377: Spawned Entity .300BLK CMag (TTC_300Cmag<490aca60>, 1, 100) at <12555.657227, 4.514589, 3658.535645>
[COT 2021-04-05 18:10:18] 76561198036774377: Spawned Entity .300BLK CMag (TTC_300Cmag<490b9e70>, 1, 100) at <12555.657227, 4.514589, 3658.535645>
[COT 2021-04-05 18:10:18] 76561198036774377: Spawned Entity .300BLK CMag (TTC_300Cmag<490b5550>, 1, 100) at <12555.657227, 4.514589, 3658.535645>
[COT 2021-04-05 18:10:18] 76561198036774377: Spawned Entity .300BLK CMag (TTC_300Cmag<490b8fd0>, 1, 100) at <12555.657227, 4.514589, 3658.535645>
[COT 2021-04-05 18:10:19] 76561198036774377: Spawned Entity .300BLK CMag (TTC_300Cmag<490bad10>, 1, 100) at <12555.657227, 4.514589, 3658.535645>
[COT 2021-04-05 18:13:26] 76561198036774377: Spawned Entity LR300_mag_30Rnd (Mag_STANAG_30Rnd<9cb2f730>, 1, 100) at <12555.657227, 4.514589, 3658.535645>
[COT 2021-04-05 18:14:25] 76561198036774377: Spawned Entity Bear Trap (BearTrap<4e428db0>, -1, 200) at <12555.008789, 4.474004, 3658.405762>
[COT 2021-04-05 18:14:42] 76561198036774377: Entered the Free Camera
[COT 2021-04-05 18:15:20] 76561198036774377: Left the Free Camera
[COT 2021-04-05 18:15:22] 76561198036774377: Left the Free Camera
[COT 2021-04-05 18:15:25] 76561198036774377: Left the Free Camera
[COT 2021-04-05 18:15:27] 76561198036774377: Left the Free Camera
[COT 2021-04-05 18:15:27] 76561198036774377: Left the Free Camera
[COT 2021-04-05 18:15:27] 76561198036774377: Left the Free Camera
