[COT 2021-02-06 23:05:14] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-06 23:05:14] 76561198036774377: Set UnlimitedAmmo To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2021-02-06 23:05:38] 76561198036774377: Entered the Free Camera
[COT 2021-02-06 23:06:24] 76561198036774377: Teleported to position <1748.491699, 449.989990, 14027.447266>
[COT 2021-02-06 23:17:59] 76561198036774377: Spawned Entity 1 Ruble Note (ItemBase<cf4adcf0>, 500, 100) at <1641.521973, 451.742371, 14183.172852>
[COT 2021-02-06 23:18:00] 76561198036774377: Spawned Entity 1 Ruble Note (ItemBase<cf4b1c80>, 500, 100) at <1641.521973, 451.742371, 14183.172852>
[COT 2021-02-06 23:18:00] 76561198036774377: Spawned Entity 1 Ruble Note (ItemBase<cf4ae400>, 500, 100) at <1641.521973, 451.742371, 14183.172852>
[COT 2021-02-06 23:18:00] 76561198036774377: Spawned Entity 1 Ruble Note (ItemBase<cf4b0750>, 500, 100) at <1641.521973, 451.742371, 14183.172852>
[COT 2021-02-06 23:18:01] 76561198036774377: Spawned Entity 1 Ruble Note (ItemBase<cf4aeb10>, 500, 100) at <1641.521973, 451.742371, 14183.172852>
[COT 2021-02-06 23:18:01] 76561198036774377: Spawned Entity 1 Ruble Note (ItemBase<cf4af930>, 500, 100) at <1641.521973, 451.742371, 14183.172852>
[COT 2021-02-06 23:18:02] 76561198036774377: Spawned Entity 1 Ruble Note (ItemBase<cf4ad5e0>, 500, 100) at <1641.521973, 451.742371, 14183.172852>
[COT 2021-02-06 23:18:02] 76561198036774377: Spawned Entity 1 Ruble Note (ItemBase<cf4af220>, 500, 100) at <1641.521973, 451.742371, 14183.172852>
[COT 2021-02-06 23:18:52] 76561198036774377: Spawned Entity Glock 18 (Glock19_Base<bf56d7d0>, -1, 175) at <1641.698364, 451.742493, 14183.065430>
[COT 2021-02-06 23:18:52] 76561198036774377: Spawned Entity Glock 18 (Glock19_Base<bf56e8f0>, -1, 175) at <1641.698364, 451.742493, 14183.065430>
[COT 2021-02-06 23:18:52] 76561198036774377: Spawned Entity Glock 18 (Glock19_Base<bf5702a0>, -1, 175) at <1641.698364, 451.742493, 14183.065430>
[COT 2021-02-06 23:18:52] 76561198036774377: Spawned Entity Glock 18 (Glock19_Base<bf5713c0>, -1, 175) at <1641.698364, 451.742493, 14183.065430>
[COT 2021-02-06 23:18:53] 76561198036774377: Spawned Entity Glock 18 (Glock19_Base<bf56be20>, -1, 175) at <1641.698364, 451.742493, 14183.065430>
[COT 2021-02-06 23:18:53] 76561198036774377: Spawned Entity Glock 18 (Glock19_Base<bf56a470>, -1, 175) at <1641.698364, 451.742493, 14183.065430>
[COT 2021-02-06 23:19:35] 76561198036774377: Spawned Entity 15rd Mlock-91 Mag (Mag_Glock_15Rnd<bb508fc0>, 1, 100) at <1641.698364, 451.742493, 14183.065430>
[COT 2021-02-06 23:19:35] 76561198036774377: Spawned Entity 15rd Mlock-91 Mag (Mag_Glock_15Rnd<bb4d46d0>, 1, 100) at <1641.698364, 451.742493, 14183.065430>
[COT 2021-02-06 23:19:36] 76561198036774377: Spawned Entity 15rd Mlock-91 Mag (Mag_Glock_15Rnd<bb4ce070>, 1, 100) at <1641.698364, 451.742493, 14183.065430>
[COT 2021-02-06 23:19:36] 76561198036774377: Spawned Entity 15rd Mlock-91 Mag (Mag_Glock_15Rnd<bb4d0c50>, 1, 100) at <1641.698364, 451.742493, 14183.065430>
[COT 2021-02-06 23:19:36] 76561198036774377: Spawned Entity 15rd Mlock-91 Mag (Mag_Glock_15Rnd<bb4d2240>, 1, 100) at <1641.698364, 451.742493, 14183.065430>
[COT 2021-02-06 23:19:36] 76561198036774377: Spawned Entity 15rd Mlock-91 Mag (Mag_Glock_15Rnd<bb4d0500>, 1, 100) at <1641.698364, 451.742493, 14183.065430>
[COT 2021-02-06 23:19:37] 76561198036774377: Spawned Entity 15rd Mlock-91 Mag (Mag_Glock_15Rnd<bb4cef10>, 1, 100) at <1641.698364, 451.742493, 14183.065430>
[COT 2021-02-06 23:19:37] 76561198036774377: Spawned Entity 15rd Mlock-91 Mag (Mag_Glock_15Rnd<bb4d4e20>, 1, 100) at <1641.698364, 451.742493, 14183.065430>
